0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1884,yes like lyme possibl  chronic lyme caus symptom ident ms  treat chronic lyme mean erad mani lyme specialist feel chronic lyme near imposs cure  mani case ms caus lyme  controversi  sinc lyme much like caus symptom ms  see comment: 1884,someon chronic lyme diseas treat   still neurolog symptom  bladder dysfunct  pain possibl ms 1884,vitamin defici  supplement  vitamin  lyme diseas  stress less  vitamin supplement  vitamin b12  child health  vitamin c  homeopathi  ascorb acid  diet  vegetarian diet  herbal supplement  holist medicin  integr medicin  well lifestyl  nutrit support  medicin herb  medit program 1884,lyme diseas  multipl sclerosi  lumbar punctur  neurolog  sclerosi  bladder
1885,yes number possibl explan  best get evalu gynecologist special expertis pediatr teen care 1885,possibl child teenag without sexual activ vagin infect 1885,abnorm vagin bleed  contracept counsel  intrauterin devic insert  rotterdam polycyst ovarian syndrom pcos panel 1885,vagin infect  poor person hygien  antibiot  vagin  femal health  children
1886,depend caus multipl caus knee effus  involv inflamm relat injuri arthriti  ice  elev antiinflammatori start home  swell persist see ortho doc examin knee  drainag needl done offic set  mri sensit detect fluid knee identifi 95% injuri knee 1886,someon get rid joint effus knee  someon knee effus mri accur  pleas explain dont know 1886,sport medicin  knee arthroscopi  shoulder arthroscopi 1886,nsaid  arthrocentesi  antiinflammatori  anti inflammatori drug  mri  magnet reson imag
1887,aspirin weight  risk heart diseas due weight  yes   aspirin consid  white willow bark sourc aspirin 1887,34 year old  365 pds  take niacin  red yeast rice fish oil  high cholesterol  hbp  age consid asprian regimen 1887,testosteron  nutrit  back pain  holist medicin  vitamin c  joint pain  menopaus  altern medicin  chelat  oxygen  neck pain  male menopaus  hormon androgen  osteopath 1887,high cholesterol  diabet  hypercholesterolemia  niacor  aspirin  yeast  niaspan  bayer  niacin  hypertens
1888,head injuri alzheim head injuri can: disrupt blood brain barrier b caus physic damag neuron  lead generat excess oxid stress  collater damag neuron  head injuri may necessarili caus azlheim brain injuri  creat someth look like  see: http:  www ncbi nlm nih gov pubm term=head+injury+alzheim 1888,head injuri caus alzheim 1888,depress  adhd  child health  anxieti  panic attack  asperg syndrom  transcrani magnet stimul  behavior therapi  behavior modif  autism  lose weight  stress 1888,nan
1889,size know relat lynch syndrom affect colon gallbladd  gallbladd polyp sudden condit  small gallbladd polyp observ  like repres cholesterolosi line gallbladd  gallbladd polyp greater 1 cm resolv laparoscop gallbladd surgeri 1889,likelyhood sudden polyp gallbladd cancer colon cancer person lynch syndrom 1889,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 1889,cancer  colon cancer  polyp  colon  gallbladd remov  gastroenterolog
1890,normal check fever  that normal  fever symptom dont worsen watch reason 1890,3 month babi littl cough  sneez sometim  runni nose  breast  bottl  feed 1890,healthi eat  abnorm blood pressur  chest pain  low blood pressur  steroid shot 1890,rhiniti  cough  fever  runni nose  hydrat  feed  pediatr
1891,sound like swell base thumb often associ cmc arthriti  cyst caus problem unlik  treatment could includ steroid inject advanc arthroplasti 1891,hello  mom bad swell bone joint base thumb side wrist thumb   also bad swell  pain middl finger   osteo 1891,facelift  cosmet surgeri  plastic surgeri  surgeri  pimpl  scar  breast augment  acn  wrinkl  scar  facial pimpl  pink eye  photofaci  liposuct  acn scar  steroid  inject filler  photoderm  herp zoster  cellul 1891,arthriti  osteoarthr
1892,medic adjust diatet patient  blood sugar level fluctuat ebb flow time  need take medic adjust consult doctor  use cgms insulin pump make diabetec therapi ideal 1892,doc told sugar level 70s past 3 month blood work  low blood sugar time  feel weird  diabet 1892,diabet  cardiovascular diseas  sleep apnea 1892,diabet type 2  diabet  child diabet  hypoglycemia  diabet risk  sugar  blood sugar  glucos  hemoglobin a1c
1893,gallston answer depend abdomin ultrasound done first place  gallston caus pain pancreat elev liver enzym  consid elect cholecystectomi  gallston pass without even know  other caus acut cholecyst pancreat  wall gallbladd thicken   consid remov 1893,adomin ultrasound discov gall stone   gall bladder pain 1893,diabet  backach  hyperlipidemia 1893,bladder pain  bladder problem  bladder  repeat ultrasound  sonogram  gallston
1894,treat tooth access tooth cure antibiot  treat tooth elimin caus infect  either tooth remov get root canal  whichev dentist recommend  good keep take antibiot treat problem  get treatment 1894,sore throat 5 day  fever  cough nasal infect  3 round antibiot tooth  daughter also strep right nowand grew bacteria 1894,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1894,sore throat  throat pain  cough  fever  streptococc infect  antibiot  oxymetazolin  bacteria
1895,med v  diseas feel medicin caus deficit talk move guess may stop gradual  feel everyth due dementia even lack mobil lack convers 1895,someon stop aricept nemenda still walk talk side effect  could contribut mobil 1895,depress  cerebr apoplexi  infertil  adhd 1895,dementia  alzheim diseas  namenda  activ daili live  donepezil  gait  aricept
1896,probabl total cholesterol slight elev  indic healthi  would probabl benefit one  lower cholesterol 1896,cholesterol 220  ldl 80  hdl 80  triglyderid 175     need statin 1896,children health  bleed  contracept  exercis  cancer  sleep  rash  fever  normal childbirth  pneumonia  teen pregnanc 1896,overweight  heart attack  lose weight  statin  sugar  cholesterol test  ldl  hdl
1897,liver bile made continu liver  gallbladd astor cocentr use need  bile secret bowel direct liver 1897,bile produc case amput gall bladder stone 1897,coliti  dehydr  crohn diseas  gallbladd diseas  gallston 1897,diarrhea  intestin  bowel  bladder  bile  amput
1898,pulmonari embolus strong histori definit rule anoth embolus  peopl thrombus coumadin  also may therapeut 1898,35 f  famili histori dvt  pe 4 major clot lower right lung huge saddl embolus feb 12  4 mgs warfarin day  chest hurt today  hasnt week  puls slight high  okay 1898,deep venous thrombosi  varicos vein  vein  uterin fibroid embol  pulmonari embol  hepatoma  portal hypertens 1898,chest pain  blood clot lung  pulmonari embol  blood clot leg  deep venous thrombosi  coumadin  warfarin  embolus
1899,mani possibl could mani possibilit  infect fever inflammatori condit lupus rheumatoid arthriti  best answer see primari care discuss concern 1899,patient 0f asthma  diabetes  hypertent  high cholestrol  reoccur nassal polyp  anxieti  depress  brain anyer  un diagnos fever last 3 month caus fever  trreatment 1899,diabet  obes  asthma  integr medicin  cardiovascular diseas 1899,high blood pressur  infecti diseas  fever  diabet  feel anxious  asthma  depress  autoimmun condit  cancer  travel
1900,need eval may liver  gallbladd  rib  kidney  pancrea problem  enlarg liver may fatti chang  ct may show fatti liver better  hida scan may show gallbladd problem  lab need  check dr 1900,mild urq pain rib cage  ast  alt 15  normal abdomin ultrasound even though state mild enlgd liver 18cm  worri ultrasound normal mild enlarg liver 1900,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 1900,enlarg liver  amylas  rufen  pain medicin  nuprin  motrin  lipas  ibuprofen  tylenol  advil
1901,cannot certain unfortun  specif answer question  mitral valv prolaps progress  mitral regurgitaion mr remain mild  littleifani impact life span  howev  progress lead sever mr  serious impact qualiti life life span  followup critic  see cardiologist regular answer question 1901,hello sir  mild mitral valv prolaps mild regurgit  lifespan chanc progress condit 1901,child health  atrial septal defect  septostomi  pediatr cardiolog  tetralog fallot  atrial septal defect repair  cardiac catheter  intervent catheter  transposit great vessel  tetralog fallot repair  ventricular septal defect repair  left heart catheter  right heart catheter 1901,mitral valv prolaps  mvp  regurgit  valv  cardiolog  echo
1902,manipul manipul usual perform within first 6 week motion remain poor 1902,3 week sinc rt tkr  bend well 52 degre  2 patella disloc later releas fail 10 month prior  manipul done 1902,nan 1902,stress  disloc  total knee replac  flexion
1903,ganglion option pain  noth requir  pain  may aspir inject mild steroid  may excis  occasion resolv spontan  surgeri result scar  natur heal process  structur nearbi could damag  risk low result usual excel 1903,dorsal ganglion cyst wrist  pain safe get remov complic scare wit surgeri 1903,colon rectal surgeri  laparoscop gallbladd remov  anti reflux surgeri  da vinci robot surgeri  hernia repair 1903,ganglion cyst  surgeri  needl drainag
1904,complex take potent medic  would assum solumedrol use treat relaps  start remit  doubl vision may seem worsen  fact  eye mayb respond stabil  circumst  neuroopthalmologist would help  mani general eye specialist could also assist  discuss neurologist also 1904,myopic w  astigmat  ms  ive increas doubl vision despit treat w  tysabri  correct  need ophthalmologist neuroop 1904,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1904,nearsighted  cataract  multipl sclerosi  doubl vision  tysabri  ophthalmolog  vision  natalizumab  glass  astigmat
1905,start ent sure doc refer general dentist primari care physician would recommend see ent specialist start  also consult dentist experienc train deal tmd\tmj issu cover base 1905,ive ear pain goe front side neck  month  also offbal feel  doctor said infect  could tmj someth els 1905,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1905,joint pain  earach  dizzi  tmj syndrom  dentistri
1906,viral  bacteri infect  allerg   contact dermat  insect bite  autoimmun condit etc  see dr assur confirm  take care 1906,red rash bodi 4 day im 3 differ anitihistamin joint stiff  swell feet  ankl  hand  wrist could 1906,nan 1906,joint stiff  rash  arthriti  stiff  skin rash  pain joint  food allergi  rash  hypersensit  rheumatoid arthriti
1907,dementia senil dementia  multi infarct dementia  organ dementia metabol endocrin diseas 1907,varieti diseas alzheim diseas 1907,depress  bipolar disord  panic attack  sleep  anxieti  adhd  feel anxious  psychiatri  adderal  alprazolam  zoloft  ritalin  nervous  borderlin person disord  citalopram  prozac  bupropion  celexa  schizophrenia  anorexia 1907,dementia  underact thyroid  alzheim diseas  vitamin defici  multipl sclerosi  hypothyroid  stroke  sclerosi
1908,mayb lupus certain possibl although tooth decay featur  see rheumatologist  get problem evalu  know lupus present 1908,ive sick 14 yrs  lupus fatigu  weightloss  anaemia  rash face  atrial fibril  decay teeth  hair loss  fever  rundown 1908,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 1908,fatigu  bald  skin rash  fever  rash  lethargi  system lupus erythematosus  hair loss  rash face  anemia
1909,resist bug utmost import get urin cultur identifi causat organismbug start anoth antibiot allow choos effect medicin  recurr cystiti  common maladi sexual activ women  general requir short cours effect antibiot  void urin take antiurisept  e g   uroquid  sexual activ would help prevent 1909, taken macrobid  bactrim  nitrofum med fail chronic uti  take someth els could misdiagnos 1909,hepat  birth defect  infecti diseas  frequent ear infect  asthma children 1909,urinari tract infect  antibiot  urin  urin cultur  bacteria  interstiti cystiti  bactrim  bladder  nitrofurantoin  macrobid
1910,lymph node sound sourc inflamm side  either dental  tonsillar oral structur  lymph node fight diseas live get larg tender  resolv sourc inflamm reced treat 1910,could caus lymph node left side neck swollen 2cm tender feel especi touch  ultrasound wont show 1910,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 1910,lymphoma  cancer  biopsi  tactil  sonogram
