0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1718,occassion strike lighten twice patient  due scientif link  breast cancer ling smoke tobacco  link strong lung cancer  could stop 90% lung cancer cigarett disappear  dont fortun breast cancer  notic cigarett still leader mani genius exercis freedom 1718,less toxic altern chemotherapi breast cancer treatment 1718,lung cancer  radiat therapi  small cell lung cancer 1718,breast cancer  breast carcinoma  cancer  chemotherapi  cancer treatment  breast cancer treatment  femal health
1719,migrain sound like migrain headach  symptom  like weak tri counter headach medicin antiinflammatori sleep often best treatment headach  recur last sever hour day  see doctor 1719,headach hadnt experienc feel like migrain come nausea vomit dizzi weak also cold toe cold sweat neck pain clammi 1719,pain manag  back pain  sciatica  pain back  backach  opiat  fibromyalgia  chronic pain  spinal cord injuri  arthriti  osteopath 1719,asthenia  dizzi  vomit  headach  neck pain  nausea  migrain headach  migrain  low temperatur  emesi
1720,arthriti multipl joint pain arthriti like osteoarthr ra  typic joint swell  get check 1720,repeat pain swollen joint told gout joint fluid analyz 4 time never crystal negat rheumatoid panel affect finger wrist foot ankl heel knee usual one time occasional 1720,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1720,joint swell  tendon  arthriti  gout  system lupus erythematosus  rheumatoid arthriti  pain swollen joint  psoriat arthriti  bursiti  synovi fluid
1721,dont rush surgeri cold nodul nuclear scan could mere colloid cyst unlik concern  thyroid ultrasound done needl biopsi character nodul  nodul solid needl biopsi help guid treatment  surgeri thyroid without risk undertaken good reason 1721,thyroid scan read: left lobe gland  mild enlarg 5 8cm x 1 7 x 2 2    avascular 3 mm hypoecho nodul lower pole left lobe  would know  hot cold 1721,fetal ultrasound  ultrasound thyroid 1721,overact thyroid  inflamm thyroid  hyperthyroid  antithyroid medic  low temperatur  sonogram  nodul  thyroid scan
1722,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 1722,10 yo son swollen node front back neck also elbow fever sore throat 1722,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 1722,fever  sore throat  throat pain  inflamm  syphili  rubella
1723,ent om need see ent oral surgeon foe evalu possibl biopsi 1723,everyday coupl month tight head  dull headach templ pain behind eye  neck pain tender touch 1723,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1723,headach  neck pain  chronic pain  pain manag  tactil
1724,worrisom pain back calf tender touch hurt walk check  horribl pain anywher evalu  two good reason seek attent  symptom worrisom  could certain dvt 1724,hard lump lower inner left leg halfway knee ankl cannot see feel sensit touch worri 1724,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1724,mri scan  tactil
1725,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 1725,sudden chest pain come  goe get sever nausea  dizzi  fatigu  sweat  vomit  go dr   get admit hospit 1725,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 1725,chest pain  fatigu  nausea  dizzi  vomit  heart attack  chest pressur  lethargi  chest tight  angina
1726,see doctor easili diagnos treat local primari care physician  make sure noth serious go  better soon 1726,could caus urinari tract infect men 1726,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 1726,urinari tract infect  bph  enlarg prostat  bladder
1727,complex question 31 yo women hx preeclampsia sever headach  disori cellul face without fever plus pain midspin eye undescrib durat unknown histori recent trauma strain  fall near fall exposur ill recent travel leav mani question  answer see doctor urgent new onset progress 1727,26 year old recent diagnos 3 8 cm complex ovarian cyst right ovari  3 day later  mid juli  believ ruptur hyperacut pain lower right abdomen cant even throw enough adject 1727,diabet diet  nutrit senior  hospic care  palliat care 1727,ovarian cyst  multi infarct dementia  tri conceiv  femal health  ruptur  sonogram
1728,infect  could abcess  see doctor 1728,bug bite inflam  red hard warm touch   itchi pain  worri  histori  lupus  cellul 1728,disabl  chronic high blood pressur 1728,fever  red skin  inflamm  system lupus erythematosus  warm touch  tactil  sever itch  cellul  insect bite
1729,right away center  put recoveri room 1729,swim good teen osgood schlatter diseas tendon knee 1729,knee replac  total knee replac  arthroscopi  total hip replac  surgeri  knee arthroscopi  shoulder arthroplasti  partial knee replac 1729,tendon  osgood schlatter diseas  swim  exercis  teen
1730,yes close relat cant get genit herp oral sore normal circumst 1730,chanc pass hsv1 genit someon oral genit without supress therapi 1730,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 1730,herp  herp simplex 1
1731,leav ankl fractur good align best keep shoe take shoe may displac fractur  import elev limb pillow ice behind knee  numb toe may due swell unless align put pressur nerv  keep foot ankl straight help arriv  good luck 1731,hairlin fractur big toe need cast come ankl cast come knee need one 1731,ankl fractur  talus fractur  sport activ  achill tendon injuri 1731,broken bone  cast
1732,infect swell pain one side face indic infect  untreat could becom life threaten  call dentist asap 1732,bf staph infect 2hr drip iv atibiot last night hosp  2 anti script take home  long cont skin open 1732,nan 1732,strep throat  staph infect  staphylococc infect  antibiot
1733,clear len remov clear len extract lensectomi correct myopia astigmat toric len implant use  procedur cataract surgeri safe  young  long term risk retin patholog surgeri may want see retin specialist prior clear len extract surgeri 1733,wear  glass correct astigmat age 3yr also help stimul  eye developmentget cornea round faster kid 1733,lasik  cataract surgeri  dri eye  corneal transplant 1733,lazi eye  amblyopia  eyeglass  glass  vision  eye health  children health  children  astigmat  ophthalmolog
1734,need follow go famili doctor   dont find one neighborhood famili friend  need follow prevent care bp 1734,23 yo histori high bp famili cardiovascular problem  sharp headach side head upon ingest caffein  aneurysm brain tumor 1734,cancer  hernia  hemorrhoid  wart 1734,headach  migrain headach  neoplasm  abnorm blood pressur  cancer  brain tumor  aneurysm  allerg reaction  hypertens  blood pressur
1735,danger could caus signific bleed ulcer  nsaid recommend take coumadin 1735,dvt inr level suppos order abl come warfarin 1735,fibromyalgia  anesthesia  backach  neuropathi  chronic pain  back pain  addict  neck pain  sciatica  spinal stenosi  nucynta er  diagnost procedur nerv  diagnost procedur spine 1735,blood clot leg  deep venous thrombosi  warfarin  coumadin  inr
1736,done proper  blepharoplasti rare increas dri eye  discuss oculoplast surgeon www asopr org consid punctal plug 1736,mom cataract surgeri year ago  eye still wateri  normal 1736,surgeri  botox  xeomin  eye lift  tuck  fat transfer  anesthesia  bruis  plastic surgeri  tummi tuck  breast implant remov  facial plastic surgeri  butt augment  ecchymos  eyelid surgeri  mini tummi tuck  femal health  cosmet surgeri  asian eyelid surgeri  smoke cessat 1736,cataract  surgeri  laparoscop surgeri  cataract surgeri  incis
1737,often time simpl surgic shoe may suffic  even camwalk without cast  ultim  decis treat doctor 1737,son micro fractur surgeri hos left ankl  play pro basketbal  complain pain burn sensat run  ankl 1737,plantar fasciiti  diabet foot  neuroma 1737,mens  broken bone  burn sensat  run  surgeri  children health
1738,clarif need tripl negat breast cancer refer breast cancer test negat estrogen receptor protein er  progesteron receptor protein pr her2 neu  tend aggress tumor  descript  tumor posit er her2  open sever treatment option tripl negat patient dont  clarifi status oncologist 1738,55 year old  post menopaus woman  er pr posit her2 negat  diagnos stage t1n0m0 breast cancer  tumor 1 2 cm big  chemo avoid 1738,breast cancer  bph  breast biopsi  fine needl aspir  breast diseas 1738,breast cancer  breast carcinoma  neoplasm  cancer  femal health  chemotherapi  menopaus  dna
1739,hormon hormon therapi appropri tumor 1739,got scar tissu lung radiat therapi breast cancer  one told could happen 1739,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 1739,breast cancer  breast carcinoma  scar  cancer  radiat therapi  radioact  femal health  breast radiat  irradi  gamma ray
1740,see depend size radiograph appear small may ok follow could potenti benign 1740,dad 53 year old good shape  diagnos stage 4 secondari liver cancer primari still unknown  ct scan  endoscopi  colonoscopi done  pet scan show someth 1740,cancer  lung cancer  lung nodul  non small cell lung cancer  immunotherapi  thymoma  thymectomi  thorac neoplasm  ct chest  small cell lung cancer 1740,cancer  liver cancer  endoscopi  pet  sigmoidoscopi  colonoscopi  pet scan  comput tomographi  ct scan
1741,part process process dental bond general procedur fill  crown  veneer  orthodont bracket connect teeth  biochem process materi liter becom chemic bond tooth structur  process techniqu sensit vari slight type procedur  often use fill  success 1741,differ endoscop sinus surgeri balloon sinuplasti  chronic sinus 1741,dental implant  child health  gum diseas  cari  gingiv  cosmet dentistri  dental care  dental cari  cosmet  teeth whiten  inflamm gum  dental health  teeth  eat healthier  malocclus  diabet type 1  diabet diet  tooth disord 1741,sinus  chronic sinus  ultrasound guid amniocentesi  ultrasound guid paracentesi  ultrasound guid ova aspir  ultrasound guid fine needl aspir  ultrasound guid chorion villus sampl  ultrasound guid amnioinfus  ultrasound guid pericardiocentesi  ultrasound guid abscess drainag
1742,cycl length need tknow long period call length menstrual cycl  ovul 14d period start  cycl 28 day  probabl pregnant egg last ~72hrs sperm ~48hrs 1742,one fallopian tube left ruptur right ectop pregnanc last year  get pregnant 1742,nan 1742,ectop pregnanc  femal health  healthi pregnanc  ruptur  pregnanc  fertil
1743,medic adjust diatet patient  blood sugar level fluctuat ebb flow time  need take medic adjust consult doctor  use cgms insulin pump make diabetec therapi ideal 1743,cholesterol 174  triglycerid 68  hdl ch 45 00  ldl direct 80 00  vldl 14  hdl risk factor 3 9  crp 0 53  homocystein 8 6 diabet  good 1743,diabet  cardiovascular diseas  sleep apnea 1743,diabet  diabet type 2  triglycerid  homocystein  healthi diet  cholesterol test  c reactiv protein  ldl  hdl  diet
1744,uncommon surgeri swell unexpect  monitor  though  swell persist 45 day 1744,left side chin tongu went numb week ago  wisdom teeth  howev one start protrud  side  relat 1744,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1744,teeth  numb  facial numb  wisdom teeth  oral maxillofaci surgeri  oral surgeri
1745,sexual transmit high unlik catch high risk human papilloma virus increas risk cervic dysplasia cancer mean close sexual contact  unfortun  spread vagin  oral anal sex  care  alway use condom  get vaccin high risk hpv qualifi  current approv age 926 year old male femal 1745,hysterectomi done  still need pap smear done year 1745,incontin  obstetr  pelvic support problem 1745,cancer  cervic cancer  hysterectomi  femal health  pap smear  cervic smear  pelvic exam
