0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1909,see doc macrobid fine simpl  uncompl uti  howev  infect spread kidney  need differ antibiot  howev  kidney pain typic back pain isnt suffici diagnos kidney infect pylonephr could simpli dehydr  back pain fever chill  see doc right away 1909, taken macrobid  bactrim  nitrofum med fail chronic uti  take someth els could misdiagnos 1909,asthma  cardiovascular diseas  diabet risk 1909,urinari tract infect  antibiot  urin  urin cultur  bacteria  interstiti cystiti  bactrim  bladder  nitrofurantoin  macrobid
1910,infraclavicular lesion essenti lymph node origin  axillari node attain 3 level spread  level 1 palpabl  node note infraclavicular region like rotter node  interpector node usual breast origin spread cutan lesion tumor spread abdomen  pelvi usual go virchow node l  supraclavicular region 1910,could caus lymph node left side neck swollen 2cm tender feel especi touch  ultrasound wont show 1910,nan 1910,lymphoma  cancer  biopsi  tactil  sonogram
1911,possiblegt mid cycl bleed associ ovul  sexual activ without contracept pregnanc test order  use contracept pregnanc less like 1911,ive irregular period spot past 2month  month  miss period second day  sore swollen breast feel gassi bloat therei lump breast 1911,nan 1911,flatul  dysmenorrhea  breast lump  ectop pregnanc  irregular period  pelvic ultrasound  femal health  pregnanc  sonogram
1912,yes ocular irrit normal day follow surgeri  gradual improv help overthecount pain reliev ask retina specialist first  pain sever lessen time  may serious issu  ask retina specialist 1912,cataract surgeri  larg floater came back eye  block part vision  done 1912,vision  blurri vision  macular degener  floater  hazi vision  retin detach  diabet  detach retina  eye floater  vitrectomi  ophthalmolog  retin disord  retin detach repair  retin vein occlus 1912,cataract  floater  surgeri  cataract surgeri  vision
1913,14 week usual proceed second eye 14 week first  long eye heal well patient happi 1913,best len place eye cataract surgeri optometrist say yellow alon len best surgeon say tech len better  whichon use 1913,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 1913,cataract  optometrist  surgeri  cataract surgeri  implant
1914,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 1914,couldnt breath  pain left arm test came back neg ct scan lung ekg bloodwork heart attack per dr  24 hrs still issu 1914,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 1914,stress  heart attack  myocardi infarct  cardiac arrest  cta  arteri  ct scan  comput tomographi  angiogram
1915,ear infect first seek care ent doctor rule diagnos sourc problem treat appropri 1915,2 yr old daughter grade1 microtia left ear  tube recurr infect seem hear loss  possibl 1915,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1915,ear infect  otiti interna  hear loss  otiti externa  recurr infect  otiti media
1916,bright red color stool common seen dark blood  later usual reflect upper gi bleed howev  happen  also  sometim bleed occult cant appreci visual test specif test call stool occult blood test 1916,occasion amount bright red blood stool colonoscopi ct scan reveal noth say gp pain lower righ 1916,cancer  breast cancer  breast carcinoma  research center  medic research 1916,constip  cancer  diet  general surgeri  general surgeon  gastroenterolog  fiber  fecal retent  hemorrhoid  low fiber
1917,hemorrhoid lik colon cancer usual associ frank blood stool  bright blood usual indic hemorrhoid  howev  cancer less like reason ignor  even hemorrhoid caus anemia  pleas consult doctor lesion may treat 1917,postmenopaus 46 yrs   told im sever anem yr  2010 colonoscopy= polyp stomach  colon   chanc colon cancer 1917,cancer  nutrit  cervic cancer  ovarian cancer 1917,low blood count  anemia  cancer  colon cancer  colonoscopi  femal health  polyp  colon  postmenopaus  blood loss
1918,see unlik develop brain cancer fron one ct scan 3 yrs ago  concern symptom  pls see yoir dr get answer  good luck 1918,right stress caus gbm brain tumor im high stress anxieti 3 year constant symptom im worri 1918,nan 1918,feel anxious  stress  neoplasm  cancer  brain tumor  alcohol  anxieti
1919,check pregnanc test caus recurr abdomin pelvic discomfort describ may identifi first address sign symptom local organ involved: vagin discharg bleed  alter period  pregnanc risk fever  nausea  vomit  alter stool pattern  blood stool  tender  distens pain urin  blood urin recent trauma  herniat age gender risk factor 1919,miss period two month  lmp may 3rd sex may 25th  test june 13thbut came negat  bloat  nausea  increas appetit  dizzi  headach  insomnia fatigu pregnant 1919,gastroenterolog  irrit bowel syndrom  heartburn  colonoscopi  endoscopi 1919,insomnia  appetit  fatigu  dizzi  headach  abdomin bloat  nausea  lethargi  vertigo  sex
1920,specif diagnosi like pot  familiar dysautonomia  shydrag  sever diabet  etc  probabl symptom due dysautonomia  possibl gerd  asthma  anxieti attack  hyperthyroid  good histori physic import talk doctor  lot time doctor like good detect  need time find caus 1920,feel short breath lot doctor say chest xray clear   mean lung ok 1920,obstetr  trauma surgeri  cardiac 1920,feel anxious  asthma  breathless  pulmonari fibrosi  xray chest
1921,pulmonari embolus strong histori definit rule anoth embolus  peopl thrombus coumadin  also may therapeut 1921,warn sign pulmonari embol pe blood clot lung 1921,deep venous thrombosi  varicos vein  vein  uterin fibroid embol  pulmonari embol  hepatoma  portal hypertens 1921,chest pain  blood clot lung  palpit  pulmonari embol  blood clot  syncop  difficulti breath  heart rate  embolus  pass
1922,symptom undiagnos good news mri look normal  pretti much rule ms  help visit neurologist though  sinc symptom return  handl symptom like occur ms kind condit 1922,recent mri brain  result follow mild atrophi mild periventricular white matter ischem small vessel diseas   wh 1922,seizur  multipl sclerosi  neuropathi  nerv damag  live al 1922,headach  feel anxious  migrain headach  arteriosclerosi  migrain  lipid  sleep  lyrica  neurolog  hydrocodon
1923,michael mission pleas check www  michaelsmiss org inform websit colorect cancer 1923,odd 33 year old male get colon cancer loos stool  incomplet evacu  itch  constip  urgenc  could ib someth els 1923,nan 1923,constip  diarrhea  loos stool  irrit bowel syndrom  urinari urgenc  urinari urgenc  cancer  colon cancer  general practition  fecal retent
1924,back sciatica  spinal stenosi  ankylos spondyl  see back surgeon 1924,im pain arch foot  toe  ankl  heel  side leg  doctor said sciatica issu  could relat 1924,foot ankl injuri  arthroscopi  pediatr  diabet neuropathi 1924,radiculopathi  nerv  travel  spinal fusion  fusion  sciatica  low back pain
1925,blood test test done check hormon level ever  mean plan b either progestin level hgc check unless order 1925,diabet alway show random glucos blood test gestat diabet random glucos clear 6 year  im strog sweet smell urin heart palp jitter 1925,nan 1925,diabet type 2  diabet  diabet onset pregnanc  hemoglobin a1c  femal health  glucos  urin  dextros  blood sugar
1926,thorough rins time suffici base clot socket thorough rins meal snack usual suffici keep socket clean enough  next week tri eat much possibl side avoid hard crumbl food might easili get stuck irrit socket  fine 1926,12 day postop wisdom tooth extract  bad tast mouth gone  still unpleas breath sometim   brush 3x day  peridex 2x day  dentist say infect gum problem 1926,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1926,reflux  cari  bad tast  dri socket  dental cari  dentistri  diet  nutrit  bacteria  wisdom tooth extract
1927,necessarili general  better cultur order identifi bacteria ensur sensit antibiot chosen  possibl noninfecti problem caus symptom similar uti  symptom resolv cours antibiot probabl return urin cultur prior treatment 1927,low calori cranberri juic work well regular cranberri juic help prevent treat recurr urinari tract infect 1927,pap smear  hysterectomi  normal childbirth  laparoscop surgeri 1927,urinari tract infect  escherichia coli  bladder  urin  bacteria  urin cultur  cranberri juic  calori
1928,wateri wateri eye relat prior cataract surgeri  dri eye common  would tri artifici tear frequent day  ointment night  warm compress 12 time day  omega3 fatti acid supplement  improv  see eye doctor 1928,len good cataract surgeri 1928,lasik  cataract surgeri  dri eye  corneal transplant 1928,cataract  cataract surgeri  surgeri
1929,potenti brca tx may includ chemo  hormon  radiat  bone target tx  diet exercis adjvuant post surgeri treatment  combo need depend tumor characterist grade  stage  hormon receptor status  er  pr her2 neu status  non chemo tx includ hormon  eg tamoxifen  arimidex  etc trastuzumab herceptin  anti her2 antibodi  optim therapi may includ 1929,boost white blood count chemotherapi breast cancer 1929,cancer  lymphoma  leukemia  multipl myeloma  cancer treatment  lung cancer  bone diseas 1929,nausea  breast cancer  breast carcinoma  cancer  femal health  chemotherapi  oncolog  bone marrow
1930,sinus pressur sinus pressur caus upper teeth hurt bad think need root canal  lower teeth usual affect unless also clench grind teeth due sinus pain pressur 1930,diagnosi is: t1112 tarlov cyst  l34 slight diffus posterior bulg sdpb  l45 desic cartileg dc sdpb l5s1 dc  sdpb superimpos central disc herniat moder indent vts  shouldi 1930,teeth clean  mouth brace  dental xray 1930,herniat disk  surgeri  cartilag
1931,specif diagnosi like pot  familiar dysautonomia  shydrag  sever diabet  etc  probabl symptom due dysautonomia  possibl gerd  asthma  anxieti attack  hyperthyroid  good histori physic import talk doctor  lot time doctor like good detect  need time find caus 1931,heart failur im 18 sleep apnea  chronic stress  hbp  fatigu  palpat  short breath mani issu arent solv 1931,obstetr  trauma surgeri  cardiac 1931,stress  fatigu  heart failur  palpit  breathless  sleep apnea  lethargi  apnea  hypertens  sleep
1932,probabl viral probabl viral  tri peprobismol  better 34 day see doctor 1932,ive take naproxen 500 mg bid almost month low back pain  usual empti stomach  morn  im protonix zantac gerd  ive stomach pain pressur today  could gastriti 1932,colonoscopi  gastroesophag reflux diseas  barrett esophagus  inflammatori bowel diseas  hepat c 1932,stomach pain  stomach discomfort  naproxen  antiinflammatori  ranitidin  protonix  zantac  naprosyn  naprelan  gastrointestin pain
1933,yeast mycolog treatment yeast infect 1933,diagnos diverticul start flagyl cipro usual therapi 1933,nan 1933,diverticul  adhd  ciprofloxacin  metronidazol  fiber  ciprofloxacin  flagyl  cipro  antibiot
1934,get check hard walk could serious injuri  could get wors difficult treat left uncheck  would check orthoped 1934,ligament complet torn ankl walk 1934,broken bone  plantar fasciiti  wound heal  bunion repair  plantar wart 1934,gait
1935,challeng diagnosi multipl sclerosi base histori exam  mri spinal fluid studi ad support confirm  condit creat confus  mention  antiphopholipid issu one categori consid  presum neurologist done test disord    get addit studi start treatment 1935,2 year ago diagnosi transvers myeliti  anoth lesion spine close first one past present brain mri clear spinal tap  could still ms 1935,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1935,wound  inflamm spinal cord  multipl sclerosi  myeliti  oligoclon band  magnet reson imag  lumbar punctur  transvers myeliti  csf  mri
1936,troubl    symptiom troubl suggest problem within ankl joint tendon area  see orthopaed foot ankl surgeon  one area found www aofa org 1936,nrv prob foot 4 year lot swim hurt leg meet foot swollen 4 place around ankl hard walk foot feel heavi keep flat  dont recal injuri much pain 1936,total ankl replac  foot swell  broken ankl  ankl arthroscopi  sport injuri  flat feet  foot ankl injuri  flatfoot  minim invas surgeri  ankl fractur 1936,ankl pain  mri  psychiatri  sport medicin  magnet reson imag  gait  ct scan  swim
1937,depend   depend natur thyroid nodul  thyroid valu  thyroid hormon high  nodul may caus test involv radioact iodin done  posit  would mean sourc extra hormon hot  cold  anoth biopsi test done rule cancer  see dr  get test 1937,ultrasound thyroid report 6 mm nodul rescan one month later report noth  doctor saidthat radiologist read first scan  8 monthssinc  follow need 1937,infecti diseas  healthi live  head neck cancer  endocrin disord 1937,sonogram  radiolog  nodul
