0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1437,get check toung workup need start proper screen self breast exam look new lump  breast exam physician look skin nippl chane well mass lymph node  mammogram ultrasound need best way pick earli stage breast cancer caus symptom  advanc caus mani differ symptom throughout bodi 1437,new tini lump scar breast cancer surgeri  recurr 1437,cancer  breast cancer  oncolog  radiat oncolog  chemotherapi  prostat cancer  head neck radiat therapi  ovarian cancer  lung cancer  skin cancer  radiat therapi  brain tumor  cancer radiat  breast radiat  gynecolog cancer  brain cancer  breast cancer treatment  abnorm vagin bleed  lymphoma  mammogram 1437,breast cancer  scar  breast carcinoma  cancer  surgeri  breast surgeon  femal health  breast surgeri  dermatolog  follicl
1438,tylenol ibuprofen nsaid like naproxen  aspirin  taken peopl partial hear loss  depend caus  peopl hear loss ring ear tinnitus may find worsen   never take take drug  interest ask  mention acetaminophen  check might also  like w  nsaid 1438,4 teeth extract yesterday prescrib ibuprofen 600mg n vicodin take one time 1438,nan 1438,vicodin  rufen  nuprin  motrin  ibuprofen  hydrocodon acetaminophen  advil
1439,like menstrual bleed possibilti pregnanc  pregnanc test 1439,hey im 18 year old sexual activ   use form birth control   normal take emerg contracept   start bleed two week period 1439,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1439,menstrual period  menstrual cycl  emerg contracept  contracept  birth control
1440,flu symptom sound like may flu  see doctor throat cultur rule strep get antivir medic diagnos flu 1440,100102 fever day  2 day later develop pain throat minor swell tonsil  symptom  strep tonsil 1440,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 1440,fever  strep throat  throat pain  sore throat  tonsil  throat cultur  treat tonsil
1441,unlik unlik howev persist see doctor exam 1441,2 day late period  white discharg  littl cramp  sore nippl  acid reflux act  pregnant 1441,breast cancer  breast diseas  breast needl biopsi  breast red  breast ach 1441,reflux  sore nippl  pregnanc  sex  menstrual period  menstrual cycl  acid reflux
1442,ekg depend abnorm read  sinus tachycardia occur panic revert normal sinus rhythm calm  talk doc 1442,20 yr old male  suffer  anxieti  occasion heart flutter feel  common  sport game  ekg  ok 1442,depress  bipolar disord  panic attack  sleep  anxieti  adhd  feel anxious  psychiatri  adderal  alprazolam  zoloft  ritalin  nervous  borderlin person disord  citalopram  prozac  bupropion  celexa  schizophrenia  anorexia 1442,feel anxious  electrocardiogram  anxieti
1443,norma concern skin sustain injuri  immedi respons inflamm red  hot  tender swell 4872 hour  bodi increas blood flow area bring heal factor normal heal  get wors time increas pain  fever  chill  red  may infect lupus may react   see doc may best bet 1443,treat inflam poison ivi entir bodi cover warm rais rash pain itchi cant sleep without wake itch 1443,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 1443,skin rash  rash  toxicodendron dermat  rais rash  sleep  poison ivi
1444,yes  cours overstudi undersleep lead headach  nervous  dizzi  anxieti make sleepless wors  vice versa  also need make sure use stimul caffein  amphetamin  etc worsen state  establish regular sleep wake time even weekend  exercis  even walk around block  see doctor symptom persist 1444,uncompens labyrinth  pressur slight dizzi head  kind weird vision like eye strain   normal symptom 1444,nan 1444,dizzi  otiti interna  labyrinth  vertigo  vision
1445,seek treatment histori sever throb pain  symptom describ time see doctor  various condit caus symptom describ  stroke  migraineassoci vertigo  vertigo  sinus infect  made need ct brain symptom sever 1445,fell hors 2 day ago  sure hit head  s: headachesshort  comego  dizzinessnausea  head injuri symptom fractur rib 1445,emerg medicin 1445,dizzi  nausea  head injuri  headach  head trauma  vertigo
1446,mgt workup level low supplement vitamin indic  mani caus inform would help  would suggest workup includ screen test kidney diseas  son take medic  associ vitamin defici  follow appt avail onlin healthtap com dosanjhmd code: ncyhpz 1446,took plan b thur  blood test mon  glucos random vitamin 25hydroxi  hemoglobin  insulin cpeptid plan b show 1446,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 1446,vitamin  levonorgestrel  insulin  glucos random  glucos  calcitriol  c peptid  blood sugar
1447,question puzzl  asking: next  someon lung brain diseas usual start lung  go brain  pattern metastasi either primary: brain primari almost never metastas outsi cns  wherea lung common foe brain  well lung  liver  bone  adren 1447,surviv treatment small cell lung cancer move brain mom 10 tumor 1447,lung cancer  radiat therapi  small cell lung cancer 1447,nausea  cancer  lung cancer  medic oncolog  palliat treatment  qualiti life
1448,possibl pain area wisdom teeth erupt  probabl due inflamm 1448,current wisdom tooth grow swell gum area  unabl open mouth way  normal 1448,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1448,nan
1449,possibl neuropathi high possibl nerv inflamm call peripher neuropathysometim caus ill diabet  trauma burn crush injuri vitamin deifici  hiv diseas  time known caus found  seem realli bother affect life  would consult doc thorough evalu possibl treatment  good luck 1449,vitamin defici take 10 000 unit week  use neuropathi left side feet finger tingl lot usual  relat 1449,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 1449,vitamin defici  nerv damag  neuropathi  tingl  vitamin  calcitriol
1450,possibl possibl  new silver fill old old could caviti  could simpli break need replac  new  common side effect metal slight expand contract hot cold typic go away 23 week  doesnt dentist may need replac put liner base underneath 1450,wisdom teeth fill instead pull  surfac caviti two one side top mouth   im 55 anxious remov 1450,dental care  dental health  dental pain  cosmet dentistri 1450,cari  tooth decay  dental cari  wisdom teeth
1451,throat swell could infect space around throat examin soon possibl  breath effect  go er  better safe sorri 1451,yes open week wisdom tooth remov still swell sore throat 1451,dental care  dental health  dental procedur  dental pain 1451,sore throat  throat pain  tooth extract
1452,altern medic sure altern medic howev mind maximum daili dose 1452,diagnos two year ago sudden hear loss  mayb virus  mayb use vicodin night happen  question read ibuprofen acetaminophen caus hear loss  safe ta 1452,cleft lip palat repair  pediatr dentistri 1452,hear loss  nuprin  tempra  rufen  panadol  vicodin  motrin  ibuprofen  hydrocodon acetaminophen  virus
1453,jaw pain im sure question  sinc pain  especi ongo problem gone away year  logic smart approach would see dentist evalu need remov problemat wisdom tooth make sure dental problem requir treatment 1453,3 day pain  back wisdom tooth  swell gum  cheek  jaw hurt  neck hurt  headach  hurt open mouth swallow 1453,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1453,headach  tooth pain  dental pain  jaw pain  oral surgeri  oral maxillofaci surgeri
1454,realli rememb chemo given surgeri meant treat potenti exist microscop deposit cell thus improv odd surviv cancer  treat cancer see measur  reason  time tell success   time surveil  alert dont live fear  best 1454,take vitamin chemotherapi breast cancer 1454,cancer  breast cancer  breast carcinoma  chemotherapi  lung cancer  femal health  colon cancer  mammogram  cancer treatment  cea  genet test  hereditari breast cancer 1454,vitamin defici  breast carcinoma  breast cancer  cancer  calcitriol  vitamin  chemotherapi
1455,yes birth control work taken direct  use altern form birth control month 1455,strong vinegar acid smell discharg come vagina birth control pill high blood sugar level  anyth els 1455,femal health  sleep  diabet  depress  alzheim diseas  obes  copd  geriatr  lose weight  underact thyroid  chronic high blood pressur  musculoskelet problem  well lifestyl  poor nutrit  hospic care  wound heal  prevent medicin  elder care  dementia  multi infarct dementia 1455,bacteri vaginosi vagin panel  sugar  oral contracept  glucos  femal health  contracept  blood sugar high  blood sugar  birth control pill  birth control
1456,good idea way know everyth ok  see dentist sure  uncommon dental problem temporarili resolv  come back vengeanc  pain experienc might temporari requir treatment  dentist person examin tell sure  better safe sorri  say goe 1456,pain jaw still swollen cheek jaw  week sinc wisdom tooth pull infect  still infect 1456,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1456,oral maxillofaci surgeri
1457,infect v allergi acut  like viral infect  histori allergi  could caus  antihistamin dont help  probabl virus  doctor tell certainti physic exam 1457,4 yr old fever normal behavior yellowish eye drainag nasal congest  antibiot let immun system work 1457,adhd  depress  autism  children health  autism spectrum disord  bipolar disord  adderal  ritalin  dextroamphetamin racem amphetamin  eat disord  learn disabl  tourett syndrom  adolesc health 1457,congest nose  fever  stuf nose  immun diseas  block nose  pink eye  oxymetazolin  conjunct  pediatr  antibiot
1458,fast result fast inform procedur  pain good hand  smear show benign malign find 1458,play volleybal tonight  hr got around 180  chest pain left breast 5min  ekg yesterday came fine  go er 1458,cancer  pap smear  femal health  thyroid cancer  gastriti  human immunodefici virus  hep c  hepat c  fine needl aspir  thyroid nodul  skin biopsi  pimpl  colonoscopi  mole  melanoma  skin cancer  ulcer  migrain  cervic  antithyroid medic 1458,chest pain  stress  chest tight  chest pressur  angina  electrocardiogram  femal health  stress test
1459,yes yes  import see dds infect tooth 1459,3 day taken  12 paracetamol  16 ibuprofen  16 codein 12 amoxicillin tabl  due abscess tooth  ok 1459,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1459,abscess  ibuprofen  rufen  nuprin  motrin  dentistri  amoxil  amoxicillin  advil  acetaminophen
1460,absolut tmj issu caus host problem  discuss treatment option dentist 1460,pain upper left side rib cage left breast  mammogram  xray  ct scan  colonoscopi urin fine  help 1460,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1460,muscl strain  ibuprofen  nuprin  rufen  motrin  pain medicin  advil  urin  mammogram  ct scan
1461,dont think would check doctor 1461,weigh 264 25yr  old feel tingl head hand feet check blood pressur its160 110  could sinus  wat 1461,plantar fasciiti  diabet foot  neuroma 1461,tingl  blood pressur
1462,probabl     pass gas bowel movement reassur anyon recent surgeri find sudden worsen abdomin pain would prudent see primari care provid general surgeon surgeri pain worsen persist 1462,sever month terribl abdomin pain  yellow  slimi liquid stoolbut never feel like empti complet gallbl  app 1462,common cold  diabet risk  rash  erectil dysfunct 1462,abdomin discomfort  abdomin pain  overact thyroid  dump syndrom  inflammatori bowel diseas  hyperthyroid  celiac diseas  belli pain  bacteria  fece
1463,troubl troubl symptom requir evalu sooner rather later  could myriad caus symptom  need view light good histori physic exam  would strong suggest visit famili doc er complet evalu asap 1463,left jaw sore well left side throat ear 1463,sleep  backach  emot problem  joint pain  dementia 1463,jaw pain  dentistri  ent head neck surgeri
1464,wear  work well  one ive made especi use travel  lot less cumbersom cpap 1464,sleep apnea relat copd asthma effect treatment someon sleep apnea copd  cpap  bipap  pillow 1464,nan 1464,sleep disord  snore  sleep disturb  asthma  lung diseas  sleep apnea  apnea  sleep  snore  copd
