0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1445,depend effect concuss vari unpredict  depend sever injuri  symptom includ headach  dizzi  vision chang blur vision  doubl vision  nausea vomit  symptom headach sever  loss conscious  get evalu immedi 1445,fell hors 2 day ago  sure hit head  s: headachesshort  comego  dizzinessnausea  head injuri symptom fractur rib 1445,migrain  epilepsi  common migrain  eeg  motor tic  infantil spasm 1445,dizzi  nausea  head injuri  headach  head trauma  vertigo
1446,diabet yes assum diabet  monitor glucos import insulin dose  associ better control even patient take oral med  without diabet  unlik much benefit monitor indic unless specif advis defin reason  healthi bodi except regul sugar 1446,took plan b thur  blood test mon  glucos random vitamin 25hydroxi  hemoglobin  insulin cpeptid plan b show 1446,sleep  children health  diabet  diet  constip  vaccin  age grace 1446,vitamin  levonorgestrel  insulin  glucos random  glucos  calcitriol  c peptid  blood sugar
1447,week month hard fast rule  studi tri detect lung cancer earli use chest xray  almost half cancer appear within year normal xray  take account rate growth cancer cell  minimum size need detect xray  good estim small cell week month 1447,surviv treatment small cell lung cancer move brain mom 10 tumor 1447,copd  sleep apnea  asthma  lung cancer 1447,nausea  cancer  lung cancer  medic oncolog  palliat treatment  qualiti life
1448,dentist vs doctor given symptom  go see health care provid  either dentist familydoc  id lean toward former first  dont dentist cant get wknd  go emerg depart evalu  difficulti swallow worrisom sever danger  emerg condit  dont wait delay 1448,current wisdom tooth grow swell gum area  unabl open mouth way  normal 1448,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 1448,nan
1449,peripheralneuropathi sound like nerv involv way possibl peripher neuropathi compress neuropathi  need see neurologist correct diagnosi treatment 1449,vitamin defici take 10 000 unit week  use neuropathi left side feet finger tingl lot usual  relat 1449,carpal tunnel syndrom  arthriti  elbow injuri disord  wrist injuri disord  hand surgeri 1449,vitamin defici  nerv damag  neuropathi  tingl  vitamin  calcitriol
1450,check bite relat may need occlus bite adjust side hurt  ask dentist check 1450,wisdom teeth fill instead pull  surfac caviti two one side top mouth   im 55 anxious remov 1450,nan 1450,cari  tooth decay  dental cari  wisdom teeth
1451,see common post op pain includ sore muscl inflamm take time go away  area close mani muscl perform eat swoll task  area heal like take awhil  concern call provid ask clarif   noth wrong 1451,yes open week wisdom tooth remov still swell sore throat 1451,tooth pain  oral surgeri  root canal  fals teeth  oral health 1451,sore throat  throat pain  tooth extract
1452,vicodin yes  taken safe  definit addict 1452,diagnos two year ago sudden hear loss  mayb virus  mayb use vicodin night happen  question read ibuprofen acetaminophen caus hear loss  safe ta 1452,nutrit  kidney diseas  gout  nephrolithiasi  hypertens  kidney stone  sodium  exercis  potassium  urinari tract infect  nephrolog dialysi  abnorm blood pressur  dialysi  polycyst kidney diseas  periton dialysi  diabet nephropathi 1452,hear loss  nuprin  tempra  rufen  panadol  vicodin  motrin  ibuprofen  hydrocodon acetaminophen  virus
1453,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 1453,3 day pain  back wisdom tooth  swell gum  cheek  jaw hurt  neck hurt  headach  hurt open mouth swallow 1453,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1453,headach  tooth pain  dental pain  jaw pain  oral surgeri  oral maxillofaci surgeri
1454,yes mean origin tumor breast  primari breast cancer spread metastas lung 1454,take vitamin chemotherapi breast cancer 1454,cancer  lung cancer  esophag cancer  surgeri  thorac outlet syndrom  minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  thoracoscopi  collaps lung  video assist thoracoscopi  ct scan  pet scan  pleural effus 1454,vitamin defici  breast carcinoma  breast cancer  cancer  calcitriol  vitamin  chemotherapi
1455,infect probabl infect  see doctor 1455,strong vinegar acid smell discharg come vagina birth control pill high blood sugar level  anyth els 1455,shingl vaccin  lose weight  low blood count 1455,bacteri vaginosi vagin panel  sugar  oral contracept  glucos  femal health  contracept  blood sugar high  blood sugar  birth control pill  birth control
1456,possibl pain surgeri last week  person differ pain toler  followup dental surgeon safe continu care  best wish 1456,pain jaw still swollen cheek jaw  week sinc wisdom tooth pull infect  still infect 1456,urinari tract infect 1456,oral maxillofaci surgeri
1457,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 1457,4 yr old fever normal behavior yellowish eye drainag nasal congest  antibiot let immun system work 1457,asthma  development delay  prematur babi  eczemat rash 1457,congest nose  fever  stuf nose  immun diseas  block nose  pink eye  oxymetazolin  conjunct  pediatr  antibiot
1458,musculoskelet pain probabl musculoskelet pain  howev need full evalu doctor  pain persist 1458,play volleybal tonight  hr got around 180  chest pain left breast 5min  ekg yesterday came fine  go er 1458,chest pain  copd  chest tight  chest pressur  hear loss  angina  diabet  heart attack  rapid heart beat  diabet type 2  transient ischem attack  mening  viral mening 1458,chest pain  stress  chest tight  chest pressur  angina  electrocardiogram  femal health  stress test
1459,mani caus emerg headach pattern evalu causat diagnos  appropri treatment break pattern  could involv high blood pressur  jaw dental issu  migrain  neck problem  thyroid issu   see doctor 1459,3 day taken  12 paracetamol  16 ibuprofen  16 codein 12 amoxicillin tabl  due abscess tooth  ok 1459,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1459,abscess  ibuprofen  rufen  nuprin  motrin  dentistri  amoxil  amoxicillin  advil  acetaminophen
1460,see md may need biopsi find 1460,pain upper left side rib cage left breast  mammogram  xray  ct scan  colonoscopi urin fine  help 1460,fibromyalgia  anesthesia  backach  neuropathi  chronic pain  back pain  addict  neck pain  sciatica  spinal stenosi  nucynta er  diagnost procedur nerv  diagnost procedur spine 1460,muscl strain  ibuprofen  nuprin  rufen  motrin  pain medicin  advil  urin  mammogram  ct scan
1461,treat hypertens hope doc concern  discuss medic start  home blood pressur monitor dairi result monitor result  young age  cardiac imag consid  take famili friend blood pressur diari next appoint  well 1461,weigh 264 25yr  old feel tingl head hand feet check blood pressur its160 110  could sinus  wat 1461,eat healthier  healthi cook  hypoglycemia  surgeri  hernia  gallston  hemorrhoid  laparoscop surgeri  append  biliari colic  wound  vascular condit  venous insuffici  biliari tract diseas 1461,tingl  blood pressur
1462,yes still go need reevalu 1462,sever month terribl abdomin pain  yellow  slimi liquid stoolbut never feel like empti complet gallbl  app 1462,diabet  women health  hyperlipidemia  hypertens 1462,abdomin discomfort  abdomin pain  overact thyroid  dump syndrom  inflammatori bowel diseas  hyperthyroid  celiac diseas  belli pain  bacteria  fece
1463,sore throat symptom sound like serious throat infect virus  stiff neck could indic serious infect occur  pleas evalu primari care physician urgent care er soon possibl 1463,left jaw sore well left side throat ear 1463,throat pain  sore throat  headach  heartburn  back pain  earach  stiff neck  diarrhea  nutrit  loos stool  pain back  burn  abscess  dizzi  indigest  cough  incontin  urinari urgenc  roentgen ray  blister 1463,jaw pain  dentistri  ent head neck surgeri
1464,sleep side mild snorer  sleep side may need  bumper belt help  snore vigor  may sleep apnea  need see doctor order sleep studi  sleep apnea option usual includ cpap  surgeri special dental applianc  dental applianc provid dentist train dental sleep medicin 1464,sleep apnea relat copd asthma effect treatment someon sleep apnea copd  cpap  bipap  pillow 1464,sleep apnea  gum diseas  dental health  root canal  mouth brace  laser ablat 1464,sleep disord  snore  sleep disturb  asthma  lung diseas  sleep apnea  apnea  sleep  snore  copd
1465,anal fissur probabl lot unconsci hold part hemorrhoid anal fissur caus pain bowel movement  would tri make stool even softer difficult take 2 hour pass singl bm 1465,reason anal fissur progress pile hemmorridseven patient have reular fiber diet good intak water 1465,cough  contracept  children health  surgeri  ear infect  otiti media  bruis  home remedi  adolesc health  neonatolog  childhood immun  pediatr dermatolog  get pierc  asthma children  topic medic laser treatment  adult immun  botox 1465,fece  hemorrhoid  fiber  diet  anal fissur
1466,mitral mild mitral valv prolaps common thin women especi pleas see cardiologist echo determin sever 1466,could mild case mitral valv prolaps caus prevent lower face lift white coat hypertens 1466,nan 1466,high blood pressur  mitral valv prolaps  white coat hypertens  mvp  xray chest  valv  lower face lift  hypertens  hypertens  electrocardiogram
1467,consult orthoped sound like complic orthoped surgeri problem  consult orthoped surgeon  swell symptom describ certain normal suggest major joint problem  exam  xray  mri like need  treatment could includ therapi  brace  antiinflammatori med  inject  possibl surgeri  let persist 1467,knee crack bend get floor  feel like theyr disloc  sometim cant walk  know what wrong 1467,arthroscopi  knee pain  acl reconstruct  knee replac  acl injuri  total knee replac  shoulder injuri  partial knee replac  rotat cuff repair  carpal tunnel releas 1467,knee pain  physiotherapi  physic therapi  cartilag  gait
1468, molluscum mani possibl  one fit descript might molluscum contagiosum  viral infect skin  see health profession evalu 1468,pea size bump upper inner thigh  look purpl bruis somewhat squishi  pop fill bright red blood 1468,basal cell carcinoma  contact dermat  cosmet 1468,red skin  rais red skin lesion  hemangioma
1469,mani possibl pain could result mani differ thing  caus pain may include: trauma fractur  sprain  arthriti  infect ingrown nail  metabol condit gout  musculoskelet biomechan abnorm neurolog condit neuropathi  thorough histori physic exam possibl laboratori radiolog exam need determin exact caus 1469,walk lot foot start hurtingund big toe side near arch foot walk  doesnt hurt touch also throb night 1469,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1469,arthriti  pain joint  orthot  podiatri  nerv  surgeri  gait
1470,see increas risk develop psoriat arthriti psoriasi depend studi look  10 40% patient psoriasi develop psoriat arthriti 1470,sever pain ulnar side elbow   could attribut psoriat arthriti 1470,rheumatoid arthriti  autoimmun diseas  rheumatolog  sjogren syndrom  psoriat arthriti  lupus 1470,arthriti  pain joint  asthenia  elbow pain  inflamm  epicondyl  neuropathi  cubit tunnel syndrom  psoriasi  tingl
1471,could cyst get ultrasound look baker cyst 1471,pain hip   knee   ankl feet   could b caus blood test came back clear  doctor say plantar fasciiti 1471,uterin fibroid  blood clot leg  deep venous thrombosi  pulmonari embol  blood clot lung  peripher arteri diseas  cta kidney 1471,podiatri  osteoarthr  orthot  plantar fasciiti
