0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1884,see endodontist oral infect certain chronic abscess crack  fractur teeth often difficult diagnos treat  addit dental school  endodontist receiv 23 year advanc educ kind diagnosi treatment    see endodontist proper diagnosi treatment 1884,someon chronic lyme diseas treat   still neurolog symptom  bladder dysfunct  pain possibl ms 1884,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1884,lyme diseas  multipl sclerosi  lumbar punctur  neurolog  sclerosi  bladder
1885,yes yes see dentist make sure discolor relat silver fill place caus problem  procedur place new fill dentist cut old fill someth call amalgam tattoo occur  happen fine dust silver impregn gum tissu give blue grey color  like tattoo mark perman unless surgic remov 1885,possibl child teenag without sexual activ vagin infect 1885,sleep  child health  surgeri  cancer  children health  insomnia  tmj syndrom  oral thrush  candidiasi  numb  sore throat  wisdom tooth extract  vertigo  migrain headach  yeast infect  throat pain  fever  dental implant 1885,vagin infect  poor person hygien  antibiot  vagin  femal health  children
1886,yes children teen might get depress  symptom might differ express might differ  need help  find provid special treatment children adolesc 1886,someon get rid joint effus knee  someon knee effus mri accur  pleas explain dont know 1886,depress  feel anxious  sleep hygien  stress manag 1886,nsaid  arthrocentesi  antiinflammatori  anti inflammatori drug  mri  magnet reson imag
1887,delic situat need thorough discuss doctor  reason big decis age regard wheter want children  sound like fibroid caus lot medic problem name sever anemia im sure pain  sure want children option hysterectomi easier one howev want children  possibl treatment option possibl treat fibroid time preserv fertil 1887,34 year old  365 pds  take niacin  red yeast rice fish oil  high cholesterol  hbp  age consid asprian regimen 1887,nan 1887,high cholesterol  diabet  hypercholesterolemia  niacor  aspirin  yeast  niaspan  bayer  niacin  hypertens
1888,interchang pulmonari fibrosi patholog descript interstiti lung diseas radiograph descript diseas  term use interchang interstiti lung diseas result pulmonari fibrosi 1888,head injuri caus alzheim 1888,cancer  heart attack  pulmonari fibrosi 1888,nan
1889,never heard ive never heard read symptom describ aura prelud either heart attack stroke  tast persist may wish check sinc could indic actual small area bleed somewher esophagus pharynx mean tast head rather realli blood  yoll need fix least figur 1889,likelyhood sudden polyp gallbladd cancer colon cancer person lynch syndrom 1889,dizzi  headach  anxieti  vertigo  migrain  sleep  tingl  pain back  migrain headach  numb  stroke  seizur  lightheaded  stress  multipl sclerosi  tremor  cerebr vascular accid  exercis  dementia  stress headach 1889,cancer  colon cancer  polyp  colon  gallbladd remov  gastroenterolog
1890,probabl tumor chanc brain tumor four month negat scan low  headach symptom yore feel may simpl migrain headach unrel tumor worth time see neurologist evalu headach continu 1890,3 month babi littl cough  sneez sometim  runni nose  breast  bottl  feed 1890,cancer  pap smear cytolog  oncolog  diagnost servic  famili health 1890,rhiniti  cough  fever  runni nose  hydrat  feed  pediatr
1891,see doctor evalu get better  especi get wors  cardiac diseas would rare 18 year old  howev would check physician 1891,hello  mom bad swell bone joint base thumb side wrist thumb   also bad swell  pain middl finger   osteo 1891,physic medicin  occup health  sport medicin 1891,arthriti  osteoarthr
1892,new symptom sound like sick  doesnt sound like relat infect almost 20 year ago  howev  new symptom  need contact doctor  headach terribl  go er 1892,doc told sugar level 70s past 3 month blood work  low blood sugar time  feel weird  diabet 1892,back pain  cervic spine injuri  lumbar spine stenosi  pain manag 1892,diabet type 2  diabet  child diabet  hypoglycemia  diabet risk  sugar  blood sugar  glucos  hemoglobin a1c
1893,dont last thing would want dislodg carotid plaqu break  follow flow blood lodg brain caus stroke  rough surfac attract clot also caus stroke  treatment done either carotid endarterectomi stent  well medic manag   stabl plaqu small problem compar broken one 1893,adomin ultrasound discov gall stone   gall bladder pain 1893,anesthesia  hernia  inguin hernia  append  inguin hernia repair 1893,bladder pain  bladder problem  bladder  repeat ultrasound  sonogram  gallston
1894,flip flop heart test  two thing abnorm   one abnorm left ventricular relax second flip flop heart lot  holter done long continu palpit  may paroxysm atrial fibril dysrrhythmia   also anxieti  stress  excess caffein intak  smoke  drink   drug use  herbal intak need thorough evalu 1894,sore throat 5 day  fever  cough nasal infect  3 round antibiot tooth  daughter also strep right nowand grew bacteria 1894,cough  child health 1894,sore throat  throat pain  cough  fever  streptococc infect  antibiot  oxymetazolin  bacteria
1895,refer pain ear yes  tmj known caus pain ear side  type pain known refer pain  similar sore tooth one side mouth refer pain ear side 1895,someon stop aricept nemenda still walk talk side effect  could contribut mobil 1895,acn  hyperpigment  acn scar  fraction laser  tretinoin  allergi  earach  rosacea  hydroquinon  asthma  sculptra  skin age  skin lighten  flu  facial dermabras  wrinkl  dermatolog  solar keratosi  botox 1895,dementia  alzheim diseas  namenda  activ daili live  donepezil  gait  aricept
1896,yes yes take togeth  one drug market  treximet  similar combin 1896,cholesterol 220  ldl 80  hdl 80  triglyderid 175     need statin 1896,musculoskelet problem  spine manipul  prolotherapi  stem cell therapi  bioident hormon 1896,overweight  heart attack  lose weight  statin  sugar  cholesterol test  ldl  hdl
1897,better option better option avail  discuss primari care physician 1897,bile produc case amput gall bladder stone 1897,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1897,diarrhea  intestin  bowel  bladder  bile  amput
1898,weight base check pediatr dose ibuprofen http:  www  drug com dosag ibuprofen html  acetaminophen http:  www drug com dosag acetaminophen html weight base  somewhat depend upon indic 1898,35 f  famili histori dvt  pe 4 major clot lower right lung huge saddl embolus feb 12  4 mgs warfarin day  chest hurt today  hasnt week  puls slight high  okay 1898,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 1898,chest pain  blood clot lung  pulmonari embol  blood clot leg  deep venous thrombosi  coumadin  warfarin  embolus
1899,sleep apnea sleep apnea caus depress decreas sex drive decreas attent  concetr  memori etc 1899,patient 0f asthma  diabetes  hypertent  high cholestrol  reoccur nassal polyp  anxieti  depress  brain anyer  un diagnos fever last 3 month caus fever  trreatment 1899,sleep  psychiatri  depress  anxieti  insomnia  sleep apnea  apnea  femal health  child health  snore  sleep disord  citalopram  norepinephrin blood level  levoph  norepinephrin  advil  lyrica  pristiq  nortriptylin  nuprin 1899,high blood pressur  infecti diseas  fever  diabet  feel anxious  asthma  depress  autoimmun condit  cancer  travel
1900,glad ask diagnosi made histori physic exam prior mris help confirm diagnosi appropri pattern exist  occas  spinal fluid analysi use ambigu case  realli need experienc subspeci neurologist  perhap even one work teach hospit  ms  need potent medic  key confirm diagnosi 1900,mild urq pain rib cage  ast  alt 15  normal abdomin ultrasound even though state mild enlgd liver 18cm  worri ultrasound normal mild enlarg liver 1900,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1900,enlarg liver  amylas  rufen  pain medicin  nuprin  motrin  lipas  ibuprofen  tylenol  advil
1901,unlik may tendon  bone promin bursiti  best evalu  may need xray initi evalu  obvious  doctor feel may soft tissu  mr help  definit evalu  dr l 1901,hello sir  mild mitral valv prolaps mild regurgit  lifespan chanc progress condit 1901,foot arthriti  foot health  foot surgeri  sport activ  foot care  joint surgeri 1901,mitral valv prolaps  mvp  regurgit  valv  cardiolog  echo
1902,allergi like caus runni stuff nose itchi ear nose  allergi also caus inflamm eustachian tube  eustachian tube allow fluid drain middl ear back behind nose mouth equal air pressur ear drum  take antihistamin daili help  steroid nasal spray eg  nasonex flonas help reduc swell eustachian tube 1902,3 week sinc rt tkr  bend well 52 degre  2 patella disloc later releas fail 10 month prior  manipul done 1902,nan 1902,stress  disloc  total knee replac  flexion
1903,may may tell   need examin probabl xray well know  take mom doctor examin find exact  swollen enough make diagnosi osteoarthr 1903,dorsal ganglion cyst wrist  pain safe get remov complic scare wit surgeri 1903,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 1903,ganglion cyst  surgeri  needl drainag
1904,constip see doctor  increas fluid  fiber activ  may need stool soften laxat 1904,myopic w  astigmat  ms  ive increas doubl vision despit treat w  tysabri  correct  need ophthalmologist neuroop 1904,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1904,nearsighted  cataract  multipl sclerosi  doubl vision  tysabri  ophthalmolog  vision  natalizumab  glass  astigmat
1905,fibroadenoma common  benign lesion  along cyst  common caus breast mass  particular younger women  arent cancer  dont turn cancer  arent associ high risk eventu develop breast cancer  surgic excis option  sometim recommend get bigger  cryoablat anoth option 1905,ive ear pain goe front side neck  month  also offbal feel  doctor said infect  could tmj someth els 1905,breast cancer  melanoma  breast surgeri  breast diseas  immunotherapi 1905,joint pain  earach  dizzi  tmj syndrom  dentistri
1906,unlik lupus might explain symptom  plaquenil also give bizarr side effect time 1906,red rash bodi 4 day im 3 differ anitihistamin joint stiff  swell feet  ankl  hand  wrist could 1906,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 1906,joint stiff  rash  arthriti  stiff  skin rash  pain joint  food allergi  rash  hypersensit  rheumatoid arthriti
1907,probabl probabl dissolv sutur skin  tri pick tweezer  knee lot pain signific red seen orthopedist assist 1907,varieti diseas alzheim diseas 1907,nan 1907,dementia  underact thyroid  alzheim diseas  vitamin defici  multipl sclerosi  hypothyroid  stroke  sclerosi
1908,yes certain 1908,ive sick 14 yrs  lupus fatigu  weightloss  anaemia  rash face  atrial fibril  decay teeth  hair loss  fever  rundown 1908,chest pain  heart attack  heart diseas  congest heart failur 1908,fatigu  bald  skin rash  fever  rash  lethargi  system lupus erythematosus  hair loss  rash face  anemia
1909, need seen assess recurr pe spite coumadin  also need work clot abnorm thrombophilia 1909, taken macrobid  bactrim  nitrofum med fail chronic uti  take someth els could misdiagnos 1909,varicos vein  vascular surgeon 1909,urinari tract infect  antibiot  urin  urin cultur  bacteria  interstiti cystiti  bactrim  bladder  nitrofurantoin  macrobid
1910,lasik caus dryness research shown may take 69 month nerv reconnect  lasik flap  prk epilasik cut nerv  dri eye last nerv reconnect  patient preexist dri eye great candid lasik 1910,could caus lymph node left side neck swollen 2cm tender feel especi touch  ultrasound wont show 1910,cataract  lasik  cataract surgeri  cloudi vision 1910,lymphoma  cancer  biopsi  tactil  sonogram
