0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1525,dont see would possibl semen use free abnorm  women artifici insemin year evid increas birth defect report 1525,dr true ladi get pregnant self home insemin get birth defect menat physicali retard babi 1525,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 1525,congenit abnorm  birth defect  pregnanc  male health  semen
1526,acn scar varieti treatment vari accord sever scars: chemic peel  dermabras  laser resurfac  filler  fat graft  excis  graft  face lift  etc 1526,best option treat atroph hypertroph acn scar boxcar roll  coupl larger ice pick one 1526,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 1526,acn  pimpl  scar  acn scar  laser  graft  facial pimpl  dermabras  laser resurfac
1527,see ortho surgeon may someth els go ankl instabl loos  loos bodi  cartilag lesion  scar tissu caus swell flui accumul within ankl joint  initi orthopaed evalu warrant 1527,long swell last sprain ankl 6 week still swollen  xray break fractur 1527,arthroscopi  exercis  disloc  physic therapi  rotat cuff injuri  acl reconstruct  knee arthroscopi  bow leg  acl injuri  hip arthroscopi  shoulder arthroscopi  rotat cuff repair  pcl reconstruct  acl tear  sport medicin  partial knee replac  cartilag disord  open repair knee disloc  reconstruct disloc kneecap  meniscus tranplant 1527,wound  ankl sprain  scar  sprain  cartilag
1528,true caviti get bigger deeper caus problem expos vital nerv  infect  etc  thing hurt whether eat  could one dental problem  see dentist soon possibl find problem best treat it\them 1528,pain lower  back jaw   caviti wisdom teeth day never goe away  heard caviti hurt eat  true 1528,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1528,cari  dental cari  tooth decay  caviti  wisdom teeth
1529,possibl could keratosi pilari  firm bump caus keratin clog hair follicl  gentl use buffpuff time mild exfoli cloth bath shower help unplug follicl pat self dri allow air dri prior use mild retinoid like retin prescript counter retinol product 1529,  back arm get lot tini bump almost like rash red itch hang around day come  goe caus 1529,hiv aid 1529,rash  skin rash  keratosi  keratosi pilari  keratin  retin  follicl  retinoid  vitamin
1530,red breast lump could infect lymph node  infect mammari duct cyst  insect bite  inflam block pore  area larg  might under abscess  larg solid  alway think possibl cancer 1530,week red lump side left breast  hurt touch  could 1530,well lifestyl  prevent medicin  electron health record 1530,red skin  abscess  cancer  femal health  tactil  insect bite
1531,mani possibl recent staph infect may may relat current abdomin symptom  ask ultrasound gallbladd  look gallston get primari  good luck 1531,could caus upper abdomin pain mid back pain  ive picc line antibiot cure staph infect past 5 week 1531,eat healthier  healthi cook  hypoglycemia  surgeri  hernia  gallston  hemorrhoid  laparoscop surgeri  append  biliari colic  wound  vascular condit  venous insuffici  biliari tract diseas 1531,abdomin discomfort  abdomin pain  back pain  staph infect  staphylococc infect  upper abdomin pain  multi infarct dementia  epigastr pain  belli pain  pain back
1532,immedi although ovul soon  women dont quit feel like sex soon  could get pregnant right away  breastfeed great contracept  norqd  good choic breastfeed 1532,physic possibl becom pregnant labor breastfeed mix norqd pill good birth control 1532,dysmenorrhea  pelvic pain  cervic dysplasia  infertil  dyspareunia 1532,ovul  sexual intercours  birth control  sex  pregnanc  lactat  labor  breastfeed
1533,probabl sens guess without lot inform   pleas contact primari care provid see appli 1533,child methotrex plaquenil jra sinc plaquenil get lot headach  side effect 1533,inflamm line heart  child allergi  femal health  quit smoke  contracept  burn  chest tight  daytim sleepi  panic disord  skin lesion 1533,headach  juvenil rheumatoid arthriti  rheumatrex  methotrex  hydroxychloroquin  plaquenil  children
1534,blur vision unrel knot pain behind ear sound like infecti process  blur vision seem total unrel 1534,hard knot behind left ear  pain turn neck  blur vision right eye  headach  feel like pressur left ear 1534,open angl glaucoma  cataract surgeri 1534,earach  headach  blurri vision  hazi vision  vision
1535,check home preg test possibl may earli miscarriag  check home pregnanc test help  pregnant  miscarriag  posit pregnanc test  may possibl would need evalu physician  bleed uncommon earli pregnanc result fullterm live birth 1535,suspect pregnant back stomach pain  bleedingfleshi tissuethick blood  came vagina last night see doc sat miscarriagehelp 1535,femal health  fertil  get pregnant  polycyst ovarian syndrom  infertil  clomid  complet semen analysi  metformin  ovul  fertil drug  sperm count  femal infertil  ivf pregnanc 1535,stomach pain  pregnanc loss  stomach discomfort  spontan abort  home pregnanc test  pregnanc test  pregnanc  gastrointestin pain  femal health  blood abnorm
1536,7 10 millimet small  sorri troubl surgeri probabl relat  lesion may need follow anoth imag studi sometim futur  radiologist ask recommend  find expert urologynecologist urologist help immedi concern 1536,pelvic mri pain complic follow tvt bladder sling remov infect reveal enhanc  7 mm lesion thecal sac l4   follow need 1536,urinari tract infect  incontin  urinari incontin  rectocel  overact bladder  pain bladder syndrom  surgic mesh  stress incontin  uterin prolaps  cystocel  vagin prolaps  leak urin  bladder sling surgeri  inform consent 1536,wound  magnet reson imag  surgeri  radiolog  urolog  imag  bladder  bladder sling surgeri  mri
1537,arthiti medicin definit arthriti decept simple: inflamm involv one joint  100 diseas fit descript  simplest inflamm one joint complex autoimmun diseas  common use madic are:nonsteroid antiinflammatori drug relafen  voltaren  mobic ibuprofen  celebrex  vioxx bextra aspirin magnesium salicylatethank 1537,medicin arthriti effect 1537,backach 1537,arthriti  pain joint  inflamm  vioxx  relafen  bextra  ibuprofen  voltaren  celebrex  magnesium
1538,depend depend low valu  peopl especi mensur women may slight lower hgb mcv high rdw 1538,sinc 2007 mch  mcv  hct  hgb  baso test come back low  rdw high  potassium low crp level doubl 1538,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1538,hyperkalemia  klorcon  klorvess  klotrix  kay ciel  kaon  kaochlor  potassium
1539,realli major sideeffect radiat breast develop skin irrit somewhat like sunburn radiat caus discomfort like get chest xray  radiat affect area irradi effect outsid radiat field 1539,radiat breast cancer surgeri hurt bodi 1539,lung cancer  colon cancer  lymphoma  breast cancer  ovarian cancer  low blood count  leukemia  anemia  sickl cell diseas  brain tumor  head neck cancer 1539,skin irrit  breast cancer  breast carcinoma  skin red  sunburn  cancer  irradi  gamma ray  radioact  roentgen ray
1540,check unfortun oral patholog need dentist screen sever  may someth normal see time  dentist send oral surgeon second opinion  age would get excit cancer may noth someth benign remov forgotten  get check assur safe healthi 1540,two lump 1 cheek upper mouth visibl  soft small 1 insid toung feel pinch im 16 could oral cancer 1540,nan 1540,cancer  oral cancer  mouth cancer  dentistri  oral maxillofaci surgeri
1541,big pictur cannot diagnos one paragraph  would major work  possibl includ infect lyme  toxic kind includ heavi metal  micronutri defici  etc  like one thing go  see good endocrinologist done yet 1541,sick  extrem fatigu  high platelet  potassium  sever anemia  low tsh  low acth 3 goiter thyroid hashimoto questionaddison what wrong w 1541,vitamin defici  vitamin supplement  vitamin b12  hypothyroid  underact thyroid  celiac diseas  gluten free diet  depress  mthfr dna mutat  homocystein  chronic fatigu  lyme diseas  magnesium defici  integr medicin  hyperthyroid  magnesium sulfat  hashimoto thyroid  triiodothyronin  revers rt3  magnesium rbc 1541,fatigu  lyme diseas  low blood count  anemia  exhaust  lethargi  goiter  addison diseas  thyroid enlarg  klorvess
1542,4872 hrs dri socket present intens increas pain typic 48 hour tooth extract  caus expos bone area lost blood clot  treatment medic dress place affect area  antibiot help dri socket 1542,long wisdom tooth extract dri socket develop 1542,cosmet dentistri  dental care  dental procedur 1542,blood clot  dri socket  antibiot  tooth extract  wisdom tooth extract
1543,exam requir unfortun symptom nonspecif  ophthalm examin requir 1543,pain pressur left eye come goe  vision get mild blurri  along headach  could caus sinus congest 1543,vision  strabismus  eye infect 1543,headach  vision
1544,yes wait till splint offf 1544,use duac acn cream nose rhinoplasti 1544,liposuct  facelift  eyelid surgeri  eye lift  gynecomastia  breast reconstruct  deep plane face lift  genit plastic surgeri  arm lift  breast lift  tummi tuck  fat transfer  facelift  breast enlarg surgeri 1544,acn  pimpl  facial pimpl  rhinoplasti
1545,stop walk stop walk wood  go direct inhal nebulis  get  go nearest emerg depart  need bronchodil inhal oral steroid 1545,asthma attack run middl wood  sx: short breath  wheez  cough  stop run wood inhal 1545,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 1545,asthma  cough  wheez  breathless  inhal
1546,need seen treat chlamydia like pid  still abnorm discharg  realli need seen  noth solv make symptom go away  infect need identifi proper treat 1546,chlamydia doc prescrib  antibiot metronidazol   im stil see discharg underwear use get rid pleas 1546,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 1546,pelvic inflammatori diseas  metrogel  norit  metronidazol  trikacid  metrocream  flagyl er  flagyl  antibiot
1547,use crutch use crutch avoid put weight need follow orthoped  symptom wors need see orthoped sooner 1547,3 week ago foot broken per er  got cam walker readi walk  use crutch foot hurt sinc husband tri move big toe 1547,back pain  neck pain 1547,orthoped surgeri  walker  gait  crutch  crutch  complementari altern medicin
1548,see md pleas see md tomorrow  someth els may go  feel better 1548,ive sweat  chill  feverish eye  sinus headach  lethargi  achey muscl raw throat month  two week amoxycillin hasnt help either  shouldi 1548,vision  sleep  glass  ophthalmolog  contact len  neurolog  farsighted  cross eye  blurri vision  eyeglass  malaria  cataract surgeri  strabismus  vision loss  loss vision  high forehead  hallucin  dim vision  eye floater  nasal 1548,sinus pain  headach  lethargi  listless  amoxicillin
1549,ankl injuri avuls fractur talus depend size avuls  see xray tough recommend treatment  howev  need get crutch non weight bear  stand swell nowher go stay foot  that elev heart essenti  also ice ankl get swell keep elev 1549,ankl sprain avuls fractur talus  1 wk later still slight swell  pain bear weight  foot turn purpl  throb stand   normal 1549,sprain strain  knee arthroscopi  shoulder arthroscopi  ankl arthroscopi 1549,sprain strain  ankl sprain  broken bone  crutch  crutch  sprain  roentgen ray
1550,pink eye allergi relat  mild u certain treat w claritin  allegra   zyrtec benadryl counter   eye itch  wateri  get zaditor otc  one drop affect eye three time per day 7 day emerg room  eye swollen eye pain  hot touch  red  purplish discolor  may bacteri eye infect celluluti need antibiot 1550,3 year old pink eye doctor offic close ok use clear eye maximum itchi eye relief help 1550,child health  children health  cough  constip  sleep  asthma  allergi  diabet  fever  skin rash  child allergi  eat healthier  rash  teeth  ova parasit  fecal retent  syndrom  live syndrom  syndrom trisomi 21 1550,eye pain  hypersensit  pink eye  cetirizin  fexofenadin  zaditor  diphenhydramin  claritin  tactil  benadryl
1551,infect cut joint serious  liquid bacteria raction ot foreign bodi joint fluid may normal ooz wound open  normal cut ooz  sound like would help get look make sure someth need attent  clean bandaid  clean skin splint help get seen 1551,cut side finger top knckle 1wk ago  itchi  rais like liquid  cant bend finger fulli  tini amnt clear dischrg  pain  normal 1551,carpal tunnel syndrom  broken bone  hand surgeri  wrist pain  dupuytren contractur  wrist fractur  sport medicin  finger fractur  xiaflex  carpal tunnel releas  osteoarthr  scaphoid fractur  collagenas inject  trigger thumb  hand nerv  endoscop carpal tunnel releas  wrist arthroscopi  hand joint 1551,wound  splint  synovi fluid  occup therapi  foreign bodi  bacteria
1552,usual amoxicillin amoxicillin good broad spectrum antibiot  low cost typic work well long allerg  although infect due acut periodont diseas  initi treatment could arestin tetracyclin famili place gumlin pocket 1552,augmentin amoxcillin better tooth infect 1552,child health  dentistri  sleep  abscess  root canal  teeth whiten  sleep apnea  cosmet dentistri  fals teeth  tmj syndrom  bad breath  dri mouth  snore  tooth pain  tooth abscess  cancer  children health  mouthguard  dental implant  periodont 1552,inflamm gum  periodont  antibiot  tetracyclin  sumycin  amoxil  amoxicillin clavulan  amoxicillin  augmentin
