0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1485,yes     antibiot often take day begin help reliev pain toothach  sever day yove seen improv  may need differ antibiot  dont mention yore  said  antibiot cure infect root canal complet  see dentist pain persist  may need see endodontist well  good luck 1485,antibiot exampl antibiot  could cure infect gumswisdom tooth best friend 1485,tmj syndrom  tmj surgeri  oral surgeri  mri tmj  protrud jaw  wisdom tooth extract  dental implant  rhinoplasti  chin implant  chin augment  chin liposuct  facial implant  chin reduct  open repair jawbon fractur  larg jaw  open repair orbit blowout fractur  underdevelop upper jaw bone  open repair cheekbon fractur  tmj mri arthrogram  open repair palat maxillari fractur 1485,dentistri  antibiot
1486,rash sure 3 antihistamin  suppos treat rash  assum hive associ arthriti  rheumatologist help 1486,ra test negat emg nerv test negat also pain neck shpulder blade elbow wrist knee ankl could possibl fibromyalgia 1486,allergi  skin rash  asthma  cough  child health  dermat  runni nose  rhiniti  food allergi  child allergi  allerg reaction  stuf nose  chronic sinus  allerg rhiniti  hereditari angioedema 1486,fatigu  fibromyalgia  lethargi  chronic fatigu  ra  rheumatoid arthriti  rheumatolog  nerv  sleep
1487,yes mri tool use help determin sourc pain  sensit tool though  sometim  someth show mri might correl symptom exam 1487,twist right knee ankl 7 26 12  mri 4 29 13  birth son  mri show injuri meniscus  pain worsen physicaltherapi next 1487,hip arthroscopi  sport medicin  total shoulder joint replac  shoulder arthroscopi  knee arthroscopi 1487,surgeri  orthoped surgeri  exercis  arthroscopi  placenta  physiotherapi  physic therapi  mri  magnet reson imag
1488,possibl swell surgic procedur normal  usual peak two day follow procedur  extens bone remov extract wisdom teeth  usual swell  case howev  minim swell occur teeth erupt bone remov requir  vari person person also 1488,impact wisdom tooth@cyst upper 5dys ago gen anesthet spitin blood think comin nostril blowin nose showin blood u advic pleas x 1488,teeth  mouth cancer  cancer  dental care  dental xray  dental procedur  mouth disord  dental bite disturb 1488,surgeri  oral maxillofaci surgeri  nostril  anesthet
1489,lhermitt ms  cervic radiculopathi  brachial plexus problem  chiari malform  syrinx  caus similar complaint  assum also rule neurologist  muscl attach occipit thorac origin scapular origin caus symptom movement  ms  short answer yes   gold standard test mri ms 1489,definit least expens test ms look new doctor follow use second mri  specif question thati ask new doctor 1489,exercis  exercis  eat healthier  exercis brain  back pain  tendon  sciatica  arthriti  backach  strength train  joint pain  physic therapi  hip pain  sport medicin  achill tendon  sport fit  rehab  musculoskelet pain  toe walk 1489,multipl sclerosi  neurolog  imag  mri  magnet reson imag
1490,possibl definit impact wisdom teeth caus ach pain face  tempor region mouth  sure dizzi  consult dentist consid extract 1490,tooth extract dental bone graft  three week ago  one cours amoxicillin 36 hoursof take augmentin  swell  pain  stench andooz site  doctor lanc squeez 24hour ago 1490,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 1490,sodium  oral maxillofaci surgeri  graft  bone graft  augmentin  amoxicillin clavulan  amoxicillin
1491,breast cancer breast cancer rare male  evalu breast surgeon appropri studi like ultrasound use help determin next step 1491,im 17 year old male littl lump left nippl  hurt littl appli pressur  male breast cancer 1491,breast cancer  cancer  breast carcinoma  breast reconstruct  mastectomi  breast implant  lymphedema  liposuct  scar  breast augment  microvascular breast reconstruct 1491,breast cancer  breast carcinoma  cancer  male breast cancer
1492,consid mri hard say without detail exam  would think ct scan chest 3 month ago normal  yield would pretti low get repeat ct scan look pan coast tumor  unless someth wrong first one  one  consid mri thorac cervic spine rule spinal caus 1492,notic small red dot sudden apper arm upper chest neck area  hurt itchi  pale skin 1492,surgeri  scoliosi  abnorm curvatur spine  broken bone  back pain  pain back  herniat disk  spinal surgeri  orthoped spine surgeri  spine surgeri  neck surgeri  minim invas surgeri 1492,spider vein  benign tumor  neoplasm  angioma  cancer  spider angioma
1493,heart heart rule caus 1493,im 21 problem anginalik pain mylif  recent  start get palpit breathless  ekg  holter  echo  blood cardiac ct angiogram done  left base uncov 1493,chest pain  heart attack  heart diseas  congest heart failur 1493,feel anxious  chest pain  breathless  esophag spasm  angina  panic attack  gastroenterolog  nitrol  nitroglyn  nitroglycerin
1494,unlik radiat inde caus brain tumor  risk relat dose radiat common radiat therapi  lot dose treat exist brain tumor  high improb diagnost ct scan 3 year ago caus brain tumor  see doctor explan symptom  describ 1494,four xray chest  one ct abdomenand one bone scan  worri whether increas chanc develop cancer radiat 1494,brain tumor 1494,cancer  irradi  ct scan  radioact  imag  gamma ray  ct abdomen  comput tomographi  travel  bone scan
1495,possibl swell surgic procedur normal  usual peak two day follow procedur  extens bone remov extract wisdom teeth  usual swell  case howev  minim swell occur teeth erupt bone remov requir  vari person person also 1495,ok chew gum  eat breath mint  use mouthwash wisdom teeth extract 1495,teeth  mouth cancer  cancer  dental care  dental xray  dental procedur  mouth disord  dental bite disturb 1495,wisdom teeth  tooth extract  mouthwash
1496,mammogram breast cancer advanc lung mass stage iv spread blood stream could seen chest xray  mammographi cours dedic find breast cancer earli appropri test  person quit ill  abnorm chest xray like anoth explan 1496,normal clinic breast exam   mri show cancer often happen  cousin cancer late 20s 1496,nan 1496,cancer  mri breast  digit mammogram  mammogram  mri breast contrast  ultrasound breast  mri  magnet reson imag  femal health  biopsi
1497,low strong famili histori   colon polyp   ulcer coliti   odd chang   need check doctor   find caus problem   insur go citi hospit appli medicaid 1497,past two day  burn stomach pain loos wateri stool get low grade temperatur night  intestin cramp  could ulcer  ib virus 1497,cancer  hernia  hemorrhoid  wart 1497,stomach pain  ulcer  irrit bowel syndrom  stomach discomfort  nutrit  virus  food poison  intestin  gastrointestin pain  fece
1498,treatment complet follow oncolog team breast exam  mammogram md breast exam  pet scan offer littl benefit  r also blood market use evalu earli recurr merit addit studi  routin though treatment earli stage breast cancer requir pet scan surveil 1498,liver cancer stage 4   lung cancer spleen cancer cirrhosi hep c  take chemotherapi treatment reduc tumor maker 1498,cancer  breast cancer  oncolog  radiat oncolog  chemotherapi  prostat cancer  head neck radiat therapi  ovarian cancer  lung cancer  skin cancer  radiat therapi  brain tumor  cancer radiat  breast radiat  gynecolog cancer  brain cancer  breast cancer treatment  abnorm vagin bleed  lymphoma  mammogram 1498,hepat c  cirrhosi liver  neoplasm  hep c  cancer  liver cancer  lung cancer  qualiti life  medic oncolog  chemotherapi
1499,knee high studi shown regardless clot  knee high stock need  import stock give 3040 mm hg graduat compress  ted hose enough  also need wear everi day least two year order reduc risk get complic dvts dont want call post thrombot syndrom 1499,29 f   pain behind knee walk type exercis   way month   pain calf start today  dvt  n bc 1499,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1499,muscl strain  knee pain  blood clot leg  deep venous thrombosi  exercis  sonogram
1500,mild mild sensat throat swell lower wisdom tooth extract  mild  symptom promin accompani difficulti swallow breath  go er asap 1500,wisdom teeth extract monday impact remov one   strep throat  sooth pain asap 1500,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1500,strep throat  streptococc infect  wisdom teeth  antibiot  tooth extract  magic mouthwash  mouthwash
1501,better safe get check immedi 1501,im take 2 5 warfarin daili clot disord  past week taken 2 alev daili leg pain dvt  affect inr 1501,foot care  diabet foot  pediatr 1501,leg pain  clot disord  blood clot leg  deep venous thrombosi  inr  naproxen  thrombus  coumadin  warfarin  wear compress stock
1502,could either symptom describ could indic either bacteri viral infect although statist  viral infect common  examin import  fact flu shot great flu shot protect 24 worst strain influenza flu season doesnt protect thousand strain flu  best see doctor 1502,woke sore throat  headach fever  strep throat go around st school  realli money go doctor  anythin 1502,exercis  backach  depress  obes  dyslipidemia 1502,fever  throat pain  sore throat  headach  strep throat  streptococc infect  rheumat fever  expos strep throat  headach fever
1503,mani possibl colleagu gave reason possibl agre  import feel better day dentist actual extract tooth best one know like caus pain long take go away   consid see anoth dentist second opinion 1503,got splint taken rhinoplasti septoplasti  normal constant runni nose septum hurt realli bad 1503,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1503,rhiniti  runni nose  septoplasti  rhinoplasti  splint
1504,masturb caus harm  caus hair loss  acn  dementia diseas 1504,medic  tremor head hand leg month  constant dizzi troubl speak  also hair loss  idea 1504,cancer  nutrit  cervic cancer  ovarian cancer 1504,bald  dizzi  tremor  speech difficulti  hair loss  vertigo  imag
1505,probabl unless serum pregnanc test done way earli  pregnant base negat  still doubt  repeat urin pregnanc 2 week  negat  go back routin  howev  make sure wait 2 week next pregnanc test  use altern reliabl method contracept  abstin condom 1505,period 3month  pregnant symptom  neg blood test  dr say get ultrasound ovarian cyst  possibl still pregnant 1505,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 1505,miss period  ovarian cyst  pregnanc  sonogram  femal health
1506,yes pregnanc result intercours day woman cycl  use contracept regular  unless wish get pregnant 1506,period 5 day late day 42  headach  cramp  pink spot faint bfp turn alway bfn  bbt chart crazi  tend low  could pregnant 1506,cancer  nutrit  cervic cancer  ovarian cancer 1506,headach  femal health  get pregnant  pregnanc  menstrual period
1507,see doctor examin determin caus 1507,mycolog ii cream cure yeast infect bacteri vaginosi 1507,diabet  women health  hyperlipidemia  hypertens 1507,yeast infect  bacteri infect vagina  mycolog ii  yeast  clindamycin phosphat  flagyl  cleocin  metronidazol  nystatin triamcinolon
1508,low multipl sclerosi autoimmun diseas immun system attack insul around myelin nerv  characterist find mri would white matter lesion  howev  fact ms clinic diagnosi common present visual chang observ swell optic nerv  common found women norther european descent 1508,mri w contrast brain show lesion  symptom ms includ diplopia  could anoth autoimmun diseas ms 1508,ribavirin  copegus  rebetol  virazol  fibromyalgia  cancer  lung cancer  human immunodefici virus  staphylococc infect  mono  infecti mononucleosi  vertigo  urinari tract infect  dizzi  multipl sclerosi 1508,autoimmun diseas  doubl vision  multipl sclerosi  mri  magnet reson imag  antibodi  thrombus
1509,mani thing caus abdimin pain  need much detail medic histori  physic exam  pain occur aggrav pain improv may need blood test  sometim radiolog  see doctor complet exam difficult begin guess limit inform  soon get wors 1509,burp reflux excess sever month  nexium reduc acid  burp  burn stomach pain meal  negat h pylori  22 year old male  terrifi stomach cancer 1509,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 1509,belch  indigest  heartburn  reflux  stomach pain  helicobact pylori  stomach discomfort  cancer  gi cancer  stomach cancer
