0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1586,cancer concern alreadi know smoke bad  good  stop smoke  stop worri cancer  spine pain may cancer  tho unlikelythat shown imag  like musculoskelet issu chronic sprain repetit stress injuri  intern problem lung  intestin tract  kidney etc must also consid  get anoth opinion 1586,24 year old  gym goer  smoke 13 cig day  feel pain near right scapula back side cough sneez stretch wake morn  lung cancer pancoast 1586,cerebr apoplexi  spina bifida  neuroma 1586,cough  cancer  lung cancer
1587,sever possibl common caus simpli dri skin irrit follow constant lip lick  dentur wearer overclos bite anoth common caus  fungal infect  vitamin defici  stretch lip dental treatment among causat factor  recurr problem see dentist physician 1587,ferratin 6  hemoglobin 10 4 hemocrit 34  indic iron defici anemia  cannot take supplement due ib  red meat  recommend 1587,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1587,iron poor blood  anemia  irrit bowel syndrom  low blood count  iron defici anemia  iron blood level  iron  supplement
1588,acut athlet foot first thing come mind one present acut athlet foot  use dri soak epsom salt dilut vinegar topic antifung    prefer patient use lotrimin ultra lamisil cream  use certaindri pad solut decreas perspir  doesnt work  see podiatrist sure inform tri alreadi 1588,belli button itchi red sometim wet sometim crusti  dont pierc shower regular 1588,surgeri  ingrown toenail  toenail  verruca  plantar wart  wart  athlet foot  foot care  toenail fungus  flat feet  orthot  minim invas surgeri  foot health 1588,red skin  psoriasi  fungal infect
1589,knee  purpos compress stock reduc swell increas venous return  two function aid decreas venous hypertens stasi lead chronic venous insuffici  knee compress necessari problem  howev  clot knee would recommend knee compress initi sever month 1589,pit edema leg  dvt  wear support stock time   calf supp  compress sleev good toe upper calf sock 1589,varicos vein  vein  spider vein  sclerotherapi  laser treatment leg vein 1589,edema  blood clot leg  deep venous thrombosi  compress
1590,sever caus alt  ast  bilirubin liver test  elev mani reason  mani medic  alcohol common substanc caus abnorm liver test  fat liver caus obes high cholesterol also common caus abnorm liver test  also mani under ill caus increas liver test well 1590,ast 37 alt 49 blood someth concern list high accord lab ive exhibit fatigu 1590,breastfeed consult  women health  homeopathi  infant feed disord 1590,lethargi  sgot  sgpt  ast
1591,anxieti yes  like concentr way feel find someth make feel uneasi  may abl put finger 1591,keep think im go deaf   sever anxieti attack scare go deaf   clean ear water think ive damag 2 ear 1591,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 1591,feel anxious  anxieti disord  panic attack  anxieti
1592,probabl 50  start mammogram 50 shown save live  debat start 40  fact diseas show much 50  mammogram dont often detect cancer 50  clinic studi proven save live start 40  far  kept age 50  mani still think 40 start point 1592,good idea obtain genet test use 23andm would good know major diseas  breast cancer  vulner 1592,infecti diseas  healthi live  head neck cancer  endocrin disord 1592,breast cancer  breast carcinoma  cancer  genet test  femal health  rock  counselor
1593,measl exposur ok  although incub period 1421 day 1593,2 yearold daughter thick green mucus come eye runni nose fever 101 3 day ive use garlic oil ear earach 1593,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 1593,rhiniti  fever  green mucus  runni nose
1594,happen may period normal stop depot  especi year longer  make sure though caus miss period includ pregnanc rule 1594,end depoprovera shot earli jan  still period right lowersid abdmoin pain nausea stomach pain 1594,sleep  breast pump  breast engorg  clog milk duct  safeti 1594,cramp pain  amenorrhea  irregular menstrual period  depo provera  pregnanc
1595,med dent probabl medic issu rather dental issu  make appoint w pcp spot visual 1595,red spot front soft palat  cold  bad sore throat  what go hard palat white 1595,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 1595,throat pain  sore throat  red spot  palat
1596,lower leg pain need see fp orthoped specialist evalu condit  cyst may caus nerv compress depend locat  histori injuri leg ankl cyst elsewher 1596,dont play sport im pain start ankl bone side leg knee  difficulti walk could 1596,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 1596,difficulti walk
1597,multipl symptom doubt could pregnant even though yore breastfeed  doesnt confer 100% protect  howev  pregnanc test negat say repeat one 2 week negat  anoth reason explain symptom 1597,sore swollen nippl breast  nausea  upper back pain sign pregnanc 1597,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 1597,back pain  nausea  pain back  pregnanc  upper back pain
1598,may  usual regular ct scan abdomen  without bowel prepar ideal way detect colon cancer  mani lesion like mask fecal matter  larg lesion may discern  3d ct scan  bowel prepar would better detect colon cancer  endoscopi better way  polyp remov suspici lesion biopsi 1598,fluctuat lipas number  negat mrcp  ercp  ct scan  number main normal sometim elev reason  lung cancer 1598,cancer  nutrit  cervic cancer  ovarian cancer 1598,cancer  lung cancer  ercp  lipas  endoscop retrograd cholangiopancreatographi  ct scan  comput tomographi  mrcp
1599,sleep apnea said sleep apnea  treat cpap wear everi night calibr check anoth overnight sleep studi arent wear   event  pleas discuss current situat doctor immedi 1599,hypertens coronari arteri diseas plus diabet safe consum energi drink  energi 1599,sleep apnea  tmj syndrom  cosmet dentistri 1599,diabet  high blood pressur  coronari arteri diseas  diabet type 2  coronari arteriosclerosi  hypertens  arteri
1600,gi symptom gi symptom make think like gerd  see gi physician clarif 1600,what best way find  im hiatal herniaendoscopi normal freq belch  acid reflux  sensat behind breast bone  bloat  breath prob 1600,cardiolog  intern medicin  electrocardiogram 1600,reflux  belch  abdomin bloat  hernia  hiatal hernia  acid reflux  endoscopi
1601,cannabi use mother  studi vanderbilt univers medic center link cannabi ectop pregnanc earli miscarriag 1601,hashimoto 29 year old    inflam itchi scalp 7 mths seen 2 dermatologist  tri cortison crm ana neg  thyroid level good  depress  : 1601,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1601,hashimoto thyroid
1602,blood neg u preg  u need hormon check ultrasound 1602,sure im pregnant w  negat hcg blood test 56 week contact noth vagin ultrasound 6 8 week contact 1602,femal health  healthi pregnanc  mens  contracept  bleed  tubal ligat  vagin discharg  pelvic pain  vagin bleed  high risk pregnanc  hormon treatment 1602,sonogram  pregnanc
1603,minim risk concern understand  radiat exposur chest xray minim  adult higher dose children chest xray dose equival 10 day natur background radiat yes radiat exposur around us time 1603,small nodul apex lung found chest xray doctor saidit may scar tissu block bone shadow  apex 70 year old  cancer 1603,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 1603,scar  cancer  nodul  xray chest
1604,miss period one four normal patient conceiv per cycl  sinc alreadi miss expect mens  would wait one week expect period test 1604,menstrual cycl period 5 day late   take pregnanc test  nausea vomit headach backach frequent urin wake thirsti  hungri 1604,contracept  nexplanon  sonogram  oral contracept  depo provera  obstetr gynecolog  hysteroscopi  uterin fibroid  cerclag  menopaus  lose weight  irregular bleed  essur  adolesc medicin 1604,stress  home pregnanc test  stress less  women health  femal health
1605,difficult say  consid advanc cancer  stage iv distant metastas stage  said  surgeri radiat treatment  howev  outcom  difficult say  5 year surviv patient stage <5%  one lesion  advanc never know  see doctor oncologist  best luck 1605,gamma knife surgeri option brain tumor 1605,infecti diseas  healthi live  head neck cancer  endocrin disord 1605,neoplasm  neuroma  cancer  brain tumor  high dose radiat  gamma knife surgeri  surgeri  laparoscop surgeri
1606,sleep apnea cpap work husband osa  need reevalu  use advanc form therapi differ mask consid  certain repeat sleep studi like need  use mandibular advanc devic associ cpap therapi may appropri  diseas sever impli go back md 1606,fall asleep fine wake 3hr everi night  cannot go back sleep  way go back sleep sleep pill zolpidem  im diabet use cpap  idea bout caus solut plzthx 1606,sleep  apnea  sleep apnea  snore  delay sleep phase  copd  leprosi  choke  co2  sleep stage  sleep disturb  pulmonari fibrosi  deep sleep  pulmonari hypertens  narcolepsi  difficulti breath  sarcoidosi  interstiti lung diseas  parasomnia 1606,zolpidem  sonata  sleep  continu posit airway pressur
1607,one dose 200 mg work 85% time  two dose taken  success rate 94%  three dose taken one pill everi day three dose success rate almost 99% 1607,dr  rxd fluconazol 150mg yeast infect  said repeat 3 day  1st dose 27th  3 day 30th use otc yeast cream w itch 1607,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 1607,yeast infect  fluconazol  yeast  diflucan  candida
1608,see orthopedist arthriti shoulder could present symptom describ  starter xray arm shoulder could help rule patholog bone  rotat cuff tear present later upper arm pain weka  mri diagnos tear  ofcours  neck refer pain shoulder  addit myriad possibl need entertain pls see orthopedist 1608,muscl weak rt bicep multipl cervic hnp c45 56 67 sometim weak numb  axial neck pain  epidur inj  didnt work op 1608,disloc  knee pain  exercis  muscl spasm  numb  patella  back pain  tingl  acl injuri  sport medicin  total knee replac  arthriti  insur  dizzi  pain joint  osteoarthr  arthroscopi  shoulder injuri disord  arthroplasti 1608,neck pain  numb  weak muscl  loss strength  muscl weak  epidur inject  epidur
1609,help place clindamycin tooth infect  import take prescrib take prescript complet  even feel great  take care 1609,endoscop surgeri 5 day ago  dull sinus headach signific pain behind left eye  call doctor 1609,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1609,headach  sinus  sinus pain  sinus headach  surgeri
1610,tough tell lab valu present dont seem alarm  laboratori use somewhat differ analyt method rang vari somewhat wellso level mayb bit high one lab ok anoth  thus need refer  also  medic use  alcohol  drug acut ill influenc valu  thus valu alon dont mean much  consult doc  good luck 1610,alt 67 ast 30  direct bilirubin  2  alp 157 im 18  total cholesterol 213 ldl 137 caus problem gb surgeri 1610,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 1610,total cholesterol  surgeri  sgpt  sgot  ldl  direct bilirubin  bilirubin  ast  alkalin phosphatas
1611,pinki toe white could macer associ tinea  could also bone spur  tinea rare hurt could problem  see podiatrist help 1611,big toe hurt lot brusi swollen hurt walk sometim bend 1611,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 1611,toe pain
